Year,District,Communicable and infectious disease,Number of people
2012/013,Rasuwa,Reproductive tract infection female,8
2012/013,Dhading,ARI /Lower respiratory tract infection,19845
2012/013,Dhading,Upper respiratory Tract infection,17743
2012/013,Dhading,Pneumonia,8700
2012/013,Dhading,Server Pneumonia,495
2012/013,Dhading,Bronchitis,4456
2012/013,Dhading,Asthma,6939
2012/013,Dhading,Urinary Tract infection,5864
2012/013,Dhading,Viral Influenza,13566
2012/013,Dhading,Reproductive Tract Infection male,133
2012/013,Dhading,Reproductive tract infection female,235
2012/013,Makawanpur,ARI /Lower respiratory tract infection,9128
2012/013,Makawanpur,Upper respiratory Tract infection,12325
2012/013,Makawanpur,Pneumonia,4887
2012/013,Makawanpur,Server Pneumonia,239
2012/013,Makawanpur,Bronchitis,3700
2012/013,Makawanpur,Asthma,4202
2012/013,Makawanpur,Urinary Tract infection,2646
2012/013,Makawanpur,Viral Influenza,7139
2012/013,Makawanpur,Reproductive Tract Infection male,11
2012/013,Makawanpur,Reproductive tract infection female,56
2012/013,Rautahat,ARI /Lower respiratory tract infection,22484
2012/013,Rautahat,Upper respiratory Tract infection,24096
2012/013,Rautahat,Pneumonia,11418
2012/013,Rautahat,Server Pneumonia,876
2012/013,Rautahat,Bronchitis,15542
2012/013,Rautahat,Asthma,17002
2012/013,Rautahat,Urinary Tract infection,5041
2012/013,Rautahat,Viral Influenza,7733
2012/013,Rautahat,Reproductive Tract Infection male,233
2012/013,Rautahat,Reproductive tract infection female,389
2012/013,Bara,ARI /Lower respiratory tract infection,19709
2012/013,Bara,Upper respiratory Tract infection,20355
2012/013,Bara,Pneumonia,5657
2012/013,Bara,Server Pneumonia,648
2012/013,Bara,Bronchitis,8677
2012/013,Bara,Asthma,10553
2012/013,Bara,Urinary Tract infection,4081
2012/013,Bara,Viral Influenza,3337
2012/013,Bara,Reproductive Tract Infection male,159
2012/013,Bara,Reproductive tract infection female,337
2012/013,Parsa,ARI /Lower respiratory tract infection,0
2012/013,Parsa,Upper respiratory Tract infection,0
2012/013,Parsa,Pneumonia,0
2012/013,Parsa,Server Pneumonia,0
2012/013,Parsa,Bronchitis,0
2012/013,Parsa,Asthma,0
2012/013,Parsa,Urinary Tract infection,0
2012/013,Parsa,Viral Influenza,0
2012/013,Parsa,Reproductive Tract Infection male,0
2012/013,Parsa,Reproductive tract infection female,0
2012/013,Chitwan,ARI /Lower respiratory tract infection,32546
2012/013,Chitwan,Upper respiratory Tract infection,33200
2012/013,Chitwan,Pneumonia,10164
2012/013,Chitwan,Server Pneumonia,472
2012/013,Chitwan,Bronchitis,4605
2012/013,Chitwan,Asthma,8106
2012/013,Chitwan,Urinary Tract infection,10266
2012/013,Chitwan,Viral Influenza,14222
2012/013,Chitwan,Reproductive Tract Infection male,537
2012/013,Chitwan,Reproductive tract infection female,893
2012/013,Gorkha,ARI /Lower respiratory tract infection,13082
2012/013,Gorkha,Upper respiratory Tract infection,22413
2012/013,Gorkha,Pneumonia,6264
2012/013,Gorkha,Server Pneumonia,114
2012/013,Gorkha,Bronchitis,2973
2012/013,Gorkha,Asthma,4164
2012/013,Gorkha,Urinary Tract infection,5339
2012/013,Gorkha,Viral Influenza,10793
2012/013,Gorkha,Reproductive Tract Infection male,31
2012/013,Gorkha,Reproductive tract infection female,57
2012/013,Lamjung,ARI /Lower respiratory tract infection,8252
2012/013,Lamjung,Upper respiratory Tract infection,10407
2012/013,Lamjung,Pneumonia,3851
2012/013,Lamjung,Server Pneumonia,91
2012/013,Lamjung,Bronchitis,2826
2012/013,Lamjung,Asthma,4563
2012/013,Lamjung,Urinary Tract infection,4039
2012/013,Lamjung,Viral Influenza,4272
2012/013,Lamjung,Reproductive Tract Infection male,25
2012/013,Lamjung,Reproductive tract infection female,83
2012/013,Tanahu,ARI /Lower respiratory tract infection,9100
2012/013,Tanahu,Upper respiratory Tract infection,9561
2012/013,Tanahu,Pneumonia,2707
2012/013,Tanahu,Server Pneumonia,211
2012/013,Tanahu,Bronchitis,2445
2012/013,Tanahu,Asthma,3821
2012/013,Tanahu,Urinary Tract infection,3393
2012/013,Tanahu,Viral Influenza,5751
2012/013,Tanahu,Reproductive Tract Infection male,256
2012/013,Tanahu,Reproductive tract infection female,528
2012/013,Syangja,ARI /Lower respiratory tract infection,23233
2012/013,Syangja,Upper respiratory Tract infection,18950
2012/013,Syangja,Pneumonia,2687
2012/013,Syangja,Server Pneumonia,244
2012/013,Syangja,Bronchitis,6179
2012/013,Syangja,Asthma,5891
2012/013,Syangja,Urinary Tract infection,4596
2012/013,Syangja,Viral Influenza,5945
2012/013,Syangja,Reproductive Tract Infection male,71
2012/013,Syangja,Reproductive tract infection female,128
2012/013,Kaski,ARI /Lower respiratory tract infection,28711
2012/013,Kaski,Upper respiratory Tract infection,31986
2012/013,Kaski,Pneumonia,9635
2012/013,Kaski,Server Pneumonia,2616
2012/013,Kaski,Bronchitis,7938
2012/013,Kaski,Asthma,9758
2012/013,Kaski,Urinary Tract infection,9073
2012/013,Kaski,Viral Influenza,8484
2012/013,Kaski,Reproductive Tract Infection male,476
2012/013,Kaski,Reproductive tract infection female,865
2012/013,Manang,ARI /Lower respiratory tract infection,562
2012/013,Manang,Upper respiratory Tract infection,518
2012/013,Manang,Pneumonia,84
2012/013,Manang,Server Pneumonia,4
2012/013,Manang,Bronchitis,216
2012/013,Manang,Asthma,179
2012/013,Manang,Urinary Tract infection,155
2012/013,Manang,Viral Influenza,146
2012/013,Manang,Reproductive Tract Infection male,8
2012/013,Manang,Reproductive tract infection female,8
2012/013,Mustang,ARI /Lower respiratory tract infection,2023
2012/013,Mustang,Upper respiratory Tract infection,2468
2012/013,Mustang,Pneumonia,100
2012/013,Mustang,Server Pneumonia,2
2012/013,Mustang,Bronchitis,52
2012/013,Mustang,Asthma,129
2012/013,Mustang,Urinary Tract infection,241
2012/013,Mustang,Viral Influenza,283
2012/013,Mustang,Reproductive Tract Infection male,0
2012/013,Mustang,Reproductive tract infection female,0
2012/013,Myagdi,ARI /Lower respiratory tract infection,6948
2012/013,Myagdi,Upper respiratory Tract infection,11137
2012/013,Myagdi,Pneumonia,1298
2012/013,Myagdi,Server Pneumonia,130
2012/013,Myagdi,Bronchitis,1427
2012/013,Myagdi,Asthma,1288
2012/013,Myagdi,Urinary Tract infection,1794
2012/013,Myagdi,Viral Influenza,1864
2012/013,Myagdi,Reproductive Tract Infection male,42
2012/013,Myagdi,Reproductive tract infection female,31
2012/013,Parbat,ARI /Lower respiratory tract infection,18064
2012/013,Parbat,Upper respiratory Tract infection,19339
2012/013,Parbat,Pneumonia,4421
2012/013,Parbat,Server Pneumonia,266
2012/013,Parbat,Bronchitis,2903
2012/013,Parbat,Asthma,3379
2012/013,Parbat,Urinary Tract infection,1789
2012/013,Parbat,Viral Influenza,2407
2012/013,Parbat,Reproductive Tract Infection male,55
2012/013,Parbat,Reproductive tract infection female,85
2012/013,Baglung,ARI /Lower respiratory tract infection,17697
2012/013,Baglung,Upper respiratory Tract infection,26347
2012/013,Baglung,Pneumonia,5312
2012/013,Baglung,Server Pneumonia,555
2012/013,Baglung,Bronchitis,4252
2012/013,Baglung,Asthma,2972
2012/013,Baglung,Urinary Tract infection,3235
2012/013,Baglung,Viral Influenza,3238
2012/013,Baglung,Reproductive Tract Infection male,59
2012/013,Baglung,Reproductive tract infection female,130
2012/013,Gulmi,ARI /Lower respiratory tract infection,15417
2012/013,Gulmi,Upper respiratory Tract infection,12484
2012/013,Gulmi,Pneumonia,3475
2012/013,Gulmi,Server Pneumonia,662
2012/013,Gulmi,Bronchitis,5570
2012/013,Gulmi,Asthma,3613
2012/013,Gulmi,Urinary Tract infection,3145
2012/013,Gulmi,Viral Influenza,8205
2012/013,Gulmi,Reproductive Tract Infection male,120
2012/013,Gulmi,Reproductive tract infection female,166
2012/013,Palpa,ARI /Lower respiratory tract infection,15623
2012/013,Palpa,Upper respiratory Tract infection,13914
2012/013,Palpa,Pneumonia,5082
2012/013,Palpa,Server Pneumonia,120
2012/013,Palpa,Bronchitis,5335
2012/013,Palpa,Asthma,6037
2012/013,Palpa,Urinary Tract infection,7659
2012/013,Palpa,Viral Influenza,5760
2012/013,Palpa,Reproductive Tract Infection male,29
2012/013,Palpa,Reproductive tract infection female,60
2012/013,Nawalparasi,ARI /Lower respiratory tract infection,29500
2012/013,Nawalparasi,Upper respiratory Tract infection,30422
2012/013,Nawalparasi,Pneumonia,7947
2012/013,Nawalparasi,Server Pneumonia,271
2012/013,Nawalparasi,Bronchitis,5506
2012/013,Nawalparasi,Asthma,7798
2012/013,Nawalparasi,Urinary Tract infection,6004
2012/013,Nawalparasi,Viral Influenza,6684
2012/013,Nawalparasi,Reproductive Tract Infection male,39
2012/013,Nawalparasi,Reproductive tract infection female,26
2012/013,Rupandehi,ARI /Lower respiratory tract infection,0
2012/013,Rupandehi,Upper respiratory Tract infection,0
2012/013,Rupandehi,Pneumonia,0
2012/013,Rupandehi,Server Pneumonia,0
2012/013,Rupandehi,Bronchitis,0
2012/013,Rupandehi,Asthma,0
2012/013,Rupandehi,Urinary Tract infection,0
2012/013,Rupandehi,Viral Influenza,0
2012/013,Rupandehi,Reproductive Tract Infection male,0
2012/013,Rupandehi,Reproductive tract infection female,0
2012/013,Kapilvastu,ARI /Lower respiratory tract infection,16210
2012/013,Kapilvastu,Upper respiratory Tract infection,28232
2012/013,Kapilvastu,Pneumonia,6693
2012/013,Kapilvastu,Server Pneumonia,852
2012/013,Kapilvastu,Bronchitis,7358
2012/013,Kapilvastu,Asthma,7969
2012/013,Kapilvastu,Urinary Tract infection,5790
2012/013,Kapilvastu,Viral Influenza,4959
2012/013,Kapilvastu,Reproductive Tract Infection male,213
2012/013,Kapilvastu,Reproductive tract infection female,519
2012/013,Arghakhanchi,ARI /Lower respiratory tract infection,11339
2012/013,Arghakhanchi,Upper respiratory Tract infection,7753
2012/013,Arghakhanchi,Pneumonia,4335
2012/013,Arghakhanchi,Server Pneumonia,287
2012/013,Arghakhanchi,Bronchitis,3665
2012/013,Arghakhanchi,Asthma,3979
2012/013,Arghakhanchi,Urinary Tract infection,2619
2012/013,Arghakhanchi,Viral Influenza,2259
2012/013,Arghakhanchi,Reproductive Tract Infection male,33
2012/013,Arghakhanchi,Reproductive tract infection female,41
2012/013,Pyuthan,ARI /Lower respiratory tract infection,11280
2012/013,Pyuthan,Upper respiratory Tract infection,15062
2012/013,Pyuthan,Pneumonia,5774
2012/013,Pyuthan,Server Pneumonia,374
2012/013,Pyuthan,Bronchitis,4774
2012/013,Pyuthan,Asthma,5082
2012/013,Pyuthan,Urinary Tract infection,3228
2012/013,Pyuthan,Viral Influenza,974
2012/013,Pyuthan,Reproductive Tract Infection male,10
2012/013,Pyuthan,Reproductive tract infection female,23
2012/013,Rolpa,ARI /Lower respiratory tract infection,11520
2012/013,Rolpa,Upper respiratory Tract infection,8889
2012/013,Rolpa,Pneumonia,4356
2012/013,Rolpa,Server Pneumonia,86
2012/013,Rolpa,Bronchitis,1786
2012/013,Rolpa,Asthma,2428
2012/013,Rolpa,Urinary Tract infection,2564
2012/013,Rolpa,Viral Influenza,1106
2012/013,Rolpa,Reproductive Tract Infection male,15
2012/013,Rolpa,Reproductive tract infection female,32
2012/013,Rukum,ARI /Lower respiratory tract infection,9240
2012/013,Rukum,Upper respiratory Tract infection,12654
2012/013,Rukum,Pneumonia,5181
2012/013,Rukum,Server Pneumonia,810
2012/013,Rukum,Bronchitis,2481
2012/013,Rukum,Asthma,2910
2012/013,Rukum,Urinary Tract infection,4027
2012/013,Rukum,Viral Influenza,1032
2012/013,Rukum,Reproductive Tract Infection male,71
2012/013,Rukum,Reproductive tract infection female,143
2012/013,Salyan,ARI /Lower respiratory tract infection,14245
2012/013,Salyan,Upper respiratory Tract infection,14221
2012/013,Salyan,Pneumonia,5599
2012/013,Salyan,Server Pneumonia,582
2012/013,Salyan,Bronchitis,4025
2012/013,Salyan,Asthma,6619
2012/013,Salyan,Urinary Tract infection,4070
2012/013,Salyan,Viral Influenza,906
2012/013,Salyan,Reproductive Tract Infection male,61
2012/013,Salyan,Reproductive tract infection female,250
2012/013,Dang,ARI /Lower respiratory tract infection,14921
2012/013,Dang,Upper respiratory Tract infection,24775
2012/013,Dang,Pneumonia,8393
2012/013,Dang,Server Pneumonia,695
2012/013,Dang,Bronchitis,5744
2012/013,Dang,Asthma,8879
2012/013,Dang,Urinary Tract infection,6640
2012/013,Dang,Viral Influenza,5144
2012/013,Dang,Reproductive Tract Infection male,316
2012/013,Dang,Reproductive tract infection female,385
2012/013,Banke,ARI /Lower respiratory tract infection,23209
2012/013,Banke,Upper respiratory Tract infection,28802
2012/013,Banke,Pneumonia,6695
2012/013,Banke,Server Pneumonia,532
2012/013,Banke,Bronchitis,3469
2012/013,Banke,Asthma,6317
2012/013,Banke,Urinary Tract infection,4354
2012/013,Banke,Viral Influenza,6573
2012/013,Banke,Reproductive Tract Infection male,16
2012/013,Banke,Reproductive tract infection female,43
2012/013,Bardiya,ARI /Lower respiratory tract infection,19615
2012/013,Bardiya,Upper respiratory Tract infection,28394
2012/013,Bardiya,Pneumonia,8009
2012/013,Bardiya,Server Pneumonia,254
2012/013,Bardiya,Bronchitis,6908
2012/013,Bardiya,Asthma,6156
2012/013,Bardiya,Urinary Tract infection,7245
2012/013,Bardiya,Viral Influenza,5748
2012/013,Bardiya,Reproductive Tract Infection male,258
2012/013,Bardiya,Reproductive tract infection female,669
2012/013,Surkhet,ARI /Lower respiratory tract infection,19860
2012/013,Surkhet,Upper respiratory Tract infection,26108
2012/013,Surkhet,Pneumonia,6610
2012/013,Surkhet,Server Pneumonia,182
2012/013,Surkhet,Bronchitis,4601
2012/013,Surkhet,Asthma,6845
2012/013,Surkhet,Urinary Tract infection,6918
2012/013,Surkhet,Viral Influenza,11073
2012/013,Surkhet,Reproductive Tract Infection male,79
2012/013,Surkhet,Reproductive tract infection female,244
2012/013,Dailekh,ARI /Lower respiratory tract infection,22985
2012/013,Dailekh,Upper respiratory Tract infection,17881
2012/013,Dailekh,Pneumonia,4784
2012/013,Dailekh,Server Pneumonia,359
2012/013,Dailekh,Bronchitis,3135
2012/013,Dailekh,Asthma,5831
2012/013,Dailekh,Urinary Tract infection,3316
2012/013,Dailekh,Viral Influenza,2059
2012/013,Dailekh,Reproductive Tract Infection male,26
2012/013,Dailekh,Reproductive tract infection female,40
2012/013,Jajarkot,ARI /Lower respiratory tract infection,4564
2012/013,Jajarkot,Upper respiratory Tract infection,8203
2012/013,Jajarkot,Pneumonia,1755
2012/013,Jajarkot,Server Pneumonia,257
2012/013,Jajarkot,Bronchitis,1623
2012/013,Jajarkot,Asthma,2714
2012/013,Jajarkot,Urinary Tract infection,2690
2012/013,Jajarkot,Viral Influenza,1115
2012/013,Jajarkot,Reproductive Tract Infection male,83
2012/013,Jajarkot,Reproductive tract infection female,143
2012/013,Dolpa,ARI /Lower respiratory tract infection,1797
2012/013,Dolpa,Upper respiratory Tract infection,1537
2012/013,Dolpa,Pneumonia,551
2012/013,Dolpa,Server Pneumonia,80
2012/013,Dolpa,Bronchitis,287
2012/013,Dolpa,Asthma,545
2012/013,Dolpa,Urinary Tract infection,459
2012/013,Dolpa,Viral Influenza,233
2012/013,Dolpa,Reproductive Tract Infection male,33
2012/013,Dolpa,Reproductive tract infection female,52
2012/013,Jumla,ARI /Lower respiratory tract infection,5557
2012/013,Jumla,Upper respiratory Tract infection,7583
2012/013,Jumla,Pneumonia,2500
2012/013,Jumla,Server Pneumonia,163
2012/013,Jumla,Bronchitis,1148
2012/013,Jumla,Asthma,1780
2012/013,Jumla,Urinary Tract infection,1369
2012/013,Jumla,Viral Influenza,424
2012/013,Jumla,Reproductive Tract Infection male,10
2012/013,Jumla,Reproductive tract infection female,61
2012/013,Kalikot,ARI /Lower respiratory tract infection,5593
2012/013,Kalikot,Upper respiratory Tract infection,6310
2012/013,Kalikot,Pneumonia,1607
2012/013,Kalikot,Server Pneumonia,216
2012/013,Kalikot,Bronchitis,1544
2012/013,Kalikot,Asthma,2327
2012/013,Kalikot,Urinary Tract infection,1777
2012/013,Kalikot,Viral Influenza,410
2012/013,Kalikot,Reproductive Tract Infection male,43
2012/013,Kalikot,Reproductive tract infection female,61
2012/013,Mugu,ARI /Lower respiratory tract infection,1711
2012/013,Mugu,Upper respiratory Tract infection,2526
2012/013,Mugu,Pneumonia,1130
2012/013,Mugu,Server Pneumonia,244
2012/013,Mugu,Bronchitis,675
2012/013,Mugu,Asthma,1256
2012/013,Mugu,Urinary Tract infection,909
2012/013,Mugu,Viral Influenza,10
2012/013,Mugu,Reproductive Tract Infection male,11
2012/013,Mugu,Reproductive tract infection female,21
2012/013,Humla,ARI /Lower respiratory tract infection,3519
2012/013,Humla,Upper respiratory Tract infection,4917
2012/013,Humla,Pneumonia,1870
2012/013,Humla,Server Pneumonia,282
2012/013,Humla,Bronchitis,1672
2012/013,Humla,Asthma,2303
2012/013,Humla,Urinary Tract infection,1910
2012/013,Humla,Viral Influenza,449
2012/013,Humla,Reproductive Tract Infection male,105
2012/013,Humla,Reproductive tract infection female,100
2012/013,Bajura,ARI /Lower respiratory tract infection,5453
2012/013,Bajura,Upper respiratory Tract infection,6840
2012/013,Bajura,Pneumonia,3909
2012/013,Bajura,Server Pneumonia,227
2012/013,Bajura,Bronchitis,1527
2012/013,Bajura,Asthma,3285
2012/013,Bajura,Urinary Tract infection,2325
2012/013,Bajura,Viral Influenza,1690
2012/013,Bajura,Reproductive Tract Infection male,24
2012/013,Bajura,Reproductive tract infection female,63
2012/013,Bajhang,ARI /Lower respiratory tract infection,9774
2012/013,Bajhang,Upper respiratory Tract infection,10809
2012/013,Bajhang,Pneumonia,4349
2012/013,Bajhang,Server Pneumonia,341
2012/013,Bajhang,Bronchitis,1799
2012/013,Bajhang,Asthma,3363
2012/013,Bajhang,Urinary Tract infection,4444
2012/013,Bajhang,Viral Influenza,6555
2012/013,Bajhang,Reproductive Tract Infection male,62
2012/013,Bajhang,Reproductive tract infection female,82
2012/013,Achham,ARI /Lower respiratory tract infection,25105
2012/013,Achham,Upper respiratory Tract infection,35723
2012/013,Achham,Pneumonia,6338
2012/013,Achham,Server Pneumonia,465
2012/013,Achham,Bronchitis,2536
2012/013,Achham,Asthma,7474
2012/013,Achham,Urinary Tract infection,6608
2012/013,Achham,Viral Influenza,3474
2012/013,Achham,Reproductive Tract Infection male,35
2012/013,Achham,Reproductive tract infection female,50
2012/013,Doti,ARI /Lower respiratory tract infection,11949
2012/013,Doti,Upper respiratory Tract infection,16964
2012/013,Doti,Pneumonia,3673
2012/013,Doti,Server Pneumonia,413
2012/013,Doti,Bronchitis,3057
2012/013,Doti,Asthma,5472
2012/013,Doti,Urinary Tract infection,3884
2012/013,Doti,Viral Influenza,2700
2012/013,Doti,Reproductive Tract Infection male,27
2012/013,Doti,Reproductive tract infection female,73
2012/013,Kailali,ARI /Lower respiratory tract infection,35545
2012/013,Kailali,Upper respiratory Tract infection,24868
2012/013,Kailali,Pneumonia,7736
2012/013,Kailali,Server Pneumonia,1194
2012/013,Kailali,Bronchitis,6299
2012/013,Kailali,Asthma,9202
2012/013,Kailali,Urinary Tract infection,9723
2012/013,Kailali,Viral Influenza,9221
2012/013,Kailali,Reproductive Tract Infection male,92
2012/013,Kailali,Reproductive tract infection female,233
2012/013,Kanchanpur,ARI /Lower respiratory tract infection,18207
2012/013,Kanchanpur,Upper respiratory Tract infection,21603
2012/013,Kanchanpur,Pneumonia,6868
2012/013,Kanchanpur,Server Pneumonia,259
2012/013,Kanchanpur,Bronchitis,3779
2012/013,Kanchanpur,Asthma,5686
2012/013,Kanchanpur,Urinary Tract infection,5040
2012/013,Kanchanpur,Viral Influenza,22685
2012/013,Kanchanpur,Reproductive Tract Infection male,91
2012/013,Kanchanpur,Reproductive tract infection female,127
2012/013,Dadeldhura,ARI /Lower respiratory tract infection,10848
2012/013,Dadeldhura,Upper respiratory Tract infection,16597
2012/013,Dadeldhura,Pneumonia,4624
2012/013,Dadeldhura,Server Pneumonia,386
2012/013,Dadeldhura,Bronchitis,1690
2012/013,Dadeldhura,Asthma,4847
2012/013,Dadeldhura,Urinary Tract infection,4668
2012/013,Dadeldhura,Viral Influenza,7335
2012/013,Dadeldhura,Reproductive Tract Infection male,278
2012/013,Dadeldhura,Reproductive tract infection female,331
2012/013,Baitadi,ARI /Lower respiratory tract infection,18086
2012/013,Baitadi,Upper respiratory Tract infection,16036
2012/013,Baitadi,Pneumonia,4627
2012/013,Baitadi,Server Pneumonia,250
2012/013,Baitadi,Bronchitis,1810
2012/013,Baitadi,Asthma,5716
2012/013,Baitadi,Urinary Tract infection,2506
2012/013,Baitadi,Viral Influenza,5524
2012/013,Baitadi,Reproductive Tract Infection male,100
2012/013,Baitadi,Reproductive tract infection female,102
2012/013,Darchula,ARI /Lower respiratory tract infection,10384
2012/013,Darchula,Upper respiratory Tract infection,7197
2012/013,Darchula,Pneumonia,1511
2012/013,Darchula,Server Pneumonia,60
2012/013,Darchula,Bronchitis,3106
2012/013,Darchula,Asthma,4377
2012/013,Darchula,Urinary Tract infection,1599
2012/013,Darchula,Viral Influenza,3629
2012/013,Darchula,Reproductive Tract Infection male,35
2012/013,Darchula,Reproductive tract infection female,63
2011/012,Taplejung,ARI /Lower respiratory tract infection,6045
2011/012,Taplejung,Upper respiratory Tract infection,6299
2011/012,Taplejung,Pneumonia,3861
2011/012,Taplejung,Server Pneumonia,137
2011/012,Taplejung,Bronchitis,1090
2011/012,Taplejung,Asthma,1654
2011/012,Taplejung,Urinary Tract infection,1656
2011/012,Taplejung,Viral Influenza,1063
2011/012,Taplejung,Reproductive Tract Infection male,203
2011/012,Taplejung,Reproductive tract infection female,72
2011/012,Panchthar,ARI /Lower respiratory tract infection,7998
2011/012,Panchthar,Upper respiratory Tract infection,7111
2011/012,Panchthar,Pneumonia,4341
2011/012,Panchthar,Server Pneumonia,170
2011/012,Panchthar,Bronchitis,1238
2011/012,Panchthar,Asthma,1616
2011/012,Panchthar,Urinary Tract infection,1140
2011/012,Panchthar,Viral Influenza,501
2011/012,Panchthar,Reproductive Tract Infection male,8
2011/012,Panchthar,Reproductive tract infection female,48
2011/012,Ilam,ARI /Lower respiratory tract infection,8558
2011/012,Ilam,Upper respiratory Tract infection,7147
2011/012,Ilam,Pneumonia,4416
2011/012,Ilam,Server Pneumonia,202
2011/012,Ilam,Bronchitis,1591
2011/012,Ilam,Asthma,1722
2011/012,Ilam,Urinary Tract infection,1549
2011/012,Ilam,Viral Influenza,3064
2011/012,Ilam,Reproductive Tract Infection male,73
2011/012,Ilam,Reproductive tract infection female,140
2011/012,Jhapa,ARI /Lower respiratory tract infection,23150
2011/012,Jhapa,Upper respiratory Tract infection,25124
2011/012,Jhapa,Pneumonia,12792
2011/012,Jhapa,Server Pneumonia,506
2011/012,Jhapa,Bronchitis,9101
2011/012,Jhapa,Asthma,6995
2011/012,Jhapa,Urinary Tract infection,10440
2011/012,Jhapa,Viral Influenza,13190
2011/012,Jhapa,Reproductive Tract Infection male,481
2011/012,Jhapa,Reproductive tract infection female,705
2011/012,Morang,ARI /Lower respiratory tract infection,30757
2011/012,Morang,Upper respiratory Tract infection,29791
2011/012,Morang,Pneumonia,11237
2011/012,Morang,Server Pneumonia,401
2011/012,Morang,Bronchitis,9816
2011/012,Morang,Asthma,6144
2011/012,Morang,Urinary Tract infection,14939
2011/012,Morang,Viral Influenza,3714
2011/012,Morang,Reproductive Tract Infection male,253
2011/012,Morang,Reproductive tract infection female,420
2011/012,Sunsari,ARI /Lower respiratory tract infection,35009
2011/012,Sunsari,Upper respiratory Tract infection,29285
2011/012,Sunsari,Pneumonia,14377
2011/012,Sunsari,Server Pneumonia,277
2011/012,Sunsari,Bronchitis,3348
2011/012,Sunsari,Asthma,5924
2011/012,Sunsari,Urinary Tract infection,4813
2011/012,Sunsari,Viral Influenza,2436
2011/012,Sunsari,Reproductive Tract Infection male,80
2011/012,Sunsari,Reproductive tract infection female,87
2011/012,Dhankuta,ARI /Lower respiratory tract infection,7248
2011/012,Dhankuta,Upper respiratory Tract infection,6885
2011/012,Dhankuta,Pneumonia,4526
2011/012,Dhankuta,Server Pneumonia,47
2011/012,Dhankuta,Bronchitis,2745
2011/012,Dhankuta,Asthma,1699
2011/012,Dhankuta,Urinary Tract infection,1621
2011/012,Dhankuta,Viral Influenza,1639
2011/012,Dhankuta,Reproductive Tract Infection male,10
2011/012,Dhankuta,Reproductive tract infection female,37
2011/012,Teharthum,ARI /Lower respiratory tract infection,4965
2011/012,Teharthum,Upper respiratory Tract infection,6383
2011/012,Teharthum,Pneumonia,2448
2011/012,Teharthum,Server Pneumonia,82
2011/012,Teharthum,Bronchitis,2286
2011/012,Teharthum,Asthma,1339
2011/012,Teharthum,Urinary Tract infection,1342
2011/012,Teharthum,Viral Influenza,1347
2011/012,Teharthum,Reproductive Tract Infection male,275
2011/012,Teharthum,Reproductive tract infection female,48
2011/012,Sankhuwasabha,ARI /Lower respiratory tract infection,7834
2011/012,Sankhuwasabha,Upper respiratory Tract infection,6356
2011/012,Sankhuwasabha,Pneumonia,4407
2011/012,Sankhuwasabha,Server Pneumonia,80
2011/012,Sankhuwasabha,Bronchitis,610
2011/012,Sankhuwasabha,Asthma,1952
2011/012,Sankhuwasabha,Urinary Tract infection,1962
2011/012,Sankhuwasabha,Viral Influenza,231
2011/012,Sankhuwasabha,Reproductive Tract Infection male,44
2011/012,Sankhuwasabha,Reproductive tract infection female,74
2011/012,Bhojpur,ARI /Lower respiratory tract infection,10567
2011/012,Bhojpur,Upper respiratory Tract infection,7375
2011/012,Bhojpur,Pneumonia,5788
2011/012,Bhojpur,Server Pneumonia,150
2011/012,Bhojpur,Bronchitis,2807
2011/012,Bhojpur,Asthma,3794
2011/012,Bhojpur,Urinary Tract infection,2544
2011/012,Bhojpur,Viral Influenza,2073
2011/012,Bhojpur,Reproductive Tract Infection male,720
2011/012,Bhojpur,Reproductive tract infection female,327
2011/012,Solukhumbu,ARI /Lower respiratory tract infection,8258
2011/012,Solukhumbu,Upper respiratory Tract infection,10338
2011/012,Solukhumbu,Pneumonia,3406
2011/012,Solukhumbu,Server Pneumonia,134
2011/012,Solukhumbu,Bronchitis,2678
2011/012,Solukhumbu,Asthma,3028
2011/012,Solukhumbu,Urinary Tract infection,2674
2011/012,Solukhumbu,Viral Influenza,385
2011/012,Solukhumbu,Reproductive Tract Infection male,77
2011/012,Solukhumbu,Reproductive tract infection female,155
2011/012,Okhaldhunga,ARI /Lower respiratory tract infection,14844
2011/012,Okhaldhunga,Upper respiratory Tract infection,15016
2011/012,Okhaldhunga,Pneumonia,5558
2011/012,Okhaldhunga,Server Pneumonia,111
2011/012,Okhaldhunga,Bronchitis,2593
2011/012,Okhaldhunga,Asthma,3093
2011/012,Okhaldhunga,Urinary Tract infection,2463
2011/012,Okhaldhunga,Viral Influenza,1381
2011/012,Okhaldhunga,Reproductive Tract Infection male,44
2011/012,Okhaldhunga,Reproductive tract infection female,245
2011/012,Khotang,ARI /Lower respiratory tract infection,9992
2011/012,Khotang,Upper respiratory Tract infection,8973
2011/012,Khotang,Pneumonia,6586
2011/012,Khotang,Server Pneumonia,410
2011/012,Khotang,Bronchitis,2964
2011/012,Khotang,Asthma,3587
2011/012,Khotang,Urinary Tract infection,2950
2011/012,Khotang,Viral Influenza,895
2011/012,Khotang,Reproductive Tract Infection male,31
2011/012,Khotang,Reproductive tract infection female,137
2011/012,Udaypur,ARI /Lower respiratory tract infection,9442
2011/012,Udaypur,Upper respiratory Tract infection,7820
2011/012,Udaypur,Pneumonia,5018
2011/012,Udaypur,Server Pneumonia,370
2011/012,Udaypur,Bronchitis,3125
2011/012,Udaypur,Asthma,2750
