District,Year,Antigens,Number of children
Jhapa,2068/69,Measles 9-11 months,21785
Jhapa,2068/69,Measles 12-23,217
Jhapa,2068/69,Japenese Encephalitis,14336
Jhapa,2068/69,TT 1,12246
Jhapa,2068/69,TT2,13748
Jhapa,2068/69,TT 2+,6076
Morang,2068/69,BCG,24536
Morang,2068/69,DPT-HepB 1,22159
Morang,2068/69,DPT-HepB 2,22101
Morang,2068/69,DPT-HepB 3,22400
Morang,2068/69,Polio1,22159
Morang,2068/69,Polio2,22101
Morang,2068/69,Polio3,22400
Morang,2068/69,Measles 9-11 months,20866
Morang,2068/69,Measles 12-23,54
Morang,2068/69,Japenese Encephalitis,16228
Morang,2068/69,TT 1,4630
Morang,2068/69,TT2,6172
Morang,2068/69,TT 2+,13536
Sunsari,2068/69,BCG,18344
Sunsari,2068/69,DPT-HepB 1,17474
Sunsari,2068/69,DPT-HepB 2,17121
Sunsari,2068/69,DPT-HepB 3,16963
Sunsari,2068/69,Polio1,17474
Sunsari,2068/69,Polio2,17121
Sunsari,2068/69,Polio3,16963
Sunsari,2068/69,Measles 9-11 months,16077
Sunsari,2068/69,Measles 12-23,130
Sunsari,2068/69,Japenese Encephalitis,12259
Sunsari,2068/69,TT 1,7498
Sunsari,2068/69,TT2,7188
Sunsari,2068/69,TT 2+,10601
Dhankuta,2068/69,BCG,3792
Dhankuta,2068/69,DPT-HepB 1,3825
Dhankuta,2068/69,DPT-HepB 2,3798
Dhankuta,2068/69,DPT-HepB 3,3808
Dhankuta,2068/69,Polio1,3805
Dhankuta,2068/69,Polio2,3779
Dhankuta,2068/69,Polio3,3808
Dhankuta,2068/69,Measles 9-11 months,3728
Dhankuta,2068/69,Measles 12-23,38
Dhankuta,2068/69,Japenese Encephalitis,0
Dhankuta,2068/69,TT 1,1230
Dhankuta,2068/69,TT2,1336
Dhankuta,2068/69,TT 2+,2529
Teharthum,2068/69,BCG,2077
Teharthum,2068/69,DPT-HepB 1,2195
Teharthum,2068/69,DPT-HepB 2,2204
Teharthum,2068/69,DPT-HepB 3,2188
Teharthum,2068/69,Polio1,2202
Teharthum,2068/69,Polio2,2189
Teharthum,2068/69,Polio3,2194
Teharthum,2068/69,Measles 9-11 months,2049
Teharthum,2068/69,Measles 12-23,10
Teharthum,2068/69,Japenese Encephalitis,0
Teharthum,2068/69,TT 1,986
Teharthum,2068/69,TT2,1274
Teharthum,2068/69,TT 2+,786
Sankhuwasabha,2068/69,BCG,3359
Sankhuwasabha,2068/69,DPT-HepB 1,3409
Sankhuwasabha,2068/69,DPT-HepB 2,3360
Sankhuwasabha,2068/69,DPT-HepB 3,3305
Sankhuwasabha,2068/69,Polio1,3363
Sankhuwasabha,2068/69,Polio2,3318
Sankhuwasabha,2068/69,Polio3,3270
Sankhuwasabha,2068/69,Measles 9-11 months,3269
Sankhuwasabha,2068/69,Measles 12-23,49
Sankhuwasabha,2068/69,Japenese Encephalitis,0
Sankhuwasabha,2068/69,TT 1,248
Sankhuwasabha,2068/69,TT2,455
Sankhuwasabha,2068/69,TT 2+,2792
Bhojpur,2068/69,BCG,3846
Bhojpur,2068/69,DPT-HepB 1,3886
Bhojpur,2068/69,DPT-HepB 2,3922
Bhojpur,2068/69,DPT-HepB 3,3873
Bhojpur,2068/69,Polio1,3886
Bhojpur,2068/69,Polio2,3912
Bhojpur,2068/69,Polio3,3883
Bhojpur,2068/69,Measles 9-11 months,3636
Bhojpur,2068/69,Measles 12-23,54
Bhojpur,2068/69,Japenese Encephalitis,0
Bhojpur,2068/69,TT 1,575
Bhojpur,2068/69,TT2,823
Bhojpur,2068/69,TT 2+,2339
Solukhumbu,2068/69,BCG,2176
Solukhumbu,2068/69,DPT-HepB 1,2088
Solukhumbu,2068/69,DPT-HepB 2,2075
Solukhumbu,2068/69,DPT-HepB 3,2081
Solukhumbu,2068/69,Polio1,2069
Solukhumbu,2068/69,Polio2,2064
Solukhumbu,2068/69,Polio3,2073
Solukhumbu,2068/69,Measles 9-11 months,2139
Solukhumbu,2068/69,Measles 12-23,40
Solukhumbu,2068/69,Japenese Encephalitis,0
Solukhumbu,2068/69,TT 1,1175
Solukhumbu,2068/69,TT2,1489
Solukhumbu,2068/69,TT 2+,1264
Okhaldhunga,2068/69,BCG,3096
Okhaldhunga,2068/69,DPT-HepB 1,2993
Okhaldhunga,2068/69,DPT-HepB 2,2956
Okhaldhunga,2068/69,DPT-HepB 3,2880
Okhaldhunga,2068/69,Polio1,3002
Okhaldhunga,2068/69,Polio2,2962
Okhaldhunga,2068/69,Polio3,2619
Okhaldhunga,2068/69,Measles 9-11 months,2751
Okhaldhunga,2068/69,Measles 12-23,82
Okhaldhunga,2068/69,Japenese Encephalitis,0
Okhaldhunga,2068/69,TT 1,969
Okhaldhunga,2068/69,TT2,1298
Okhaldhunga,2068/69,TT 2+,1177
Khotang,2068/69,BCG,4638
Khotang,2068/69,DPT-HepB 1,4723
Khotang,2068/69,DPT-HepB 2,4532
Khotang,2068/69,DPT-HepB 3,4476
Khotang,2068/69,Polio1,4707
Khotang,2068/69,Polio2,4414
Khotang,2068/69,Polio3,4470
Khotang,2068/69,Measles 9-11 months,4330
Khotang,2068/69,Measles 12-23,44
Khotang,2068/69,Japenese Encephalitis,0
Khotang,2068/69,TT 1,1989
Khotang,2068/69,TT2,2064
Khotang,2068/69,TT 2+,2263
Udaypur,2068/69,BCG,7823
Udaypur,2068/69,DPT-HepB 1,7571
Udaypur,2068/69,DPT-HepB 2,7424
Udaypur,2068/69,DPT-HepB 3,7306
Udaypur,2068/69,Polio1,7571
Udaypur,2068/69,Polio2,7424
Udaypur,2068/69,Polio3,7306
Udaypur,2068/69,Measles 9-11 months,7060
Udaypur,2068/69,Measles 12-23,241
Udaypur,2068/69,Japenese Encephalitis,5839
Udaypur,2068/69,TT 1,3356
Udaypur,2068/69,TT2,2938
Udaypur,2068/69,TT 2+,3750
Saptari,2068/69,BCG,15514
Saptari,2068/69,DPT-HepB 1,14908
Saptari,2068/69,DPT-HepB 2,14802
Saptari,2068/69,DPT-HepB 3,14724
Saptari,2068/69,Polio1,14643
Saptari,2068/69,Polio2,14463
Saptari,2068/69,Polio3,14453
Saptari,2068/69,Measles 9-11 months,13767
Saptari,2068/69,Measles 12-23,402
Saptari,2068/69,Japenese Encephalitis,9597
Saptari,2068/69,TT 1,8922
Saptari,2068/69,TT2,7147
Saptari,2068/69,TT 2+,8441
Siraha,2068/69,BCG,16903
Siraha,2068/69,DPT-HepB 1,16709
Siraha,2068/69,DPT-HepB 2,16533
Siraha,2068/69,DPT-HepB 3,16088
Siraha,2068/69,Polio1,16709
Siraha,2068/69,Polio2,16353
Siraha,2068/69,Polio3,16087
Siraha,2068/69,Measles 9-11 months,15409
Siraha,2068/69,Measles 12-23,273
Siraha,2068/69,Japenese Encephalitis,11539
Siraha,2068/69,TT 1,6881
Siraha,2068/69,TT2,5933
Siraha,2068/69,TT 2+,10931
Dhanusha,2068/69,BCG,19989
Dhanusha,2068/69,DPT-HepB 1,19826
Dhanusha,2068/69,DPT-HepB 2,19453
Dhanusha,2068/69,DPT-HepB 3,18814
Dhanusha,2068/69,Polio1,19588
Dhanusha,2068/69,Polio2,19404
Dhanusha,2068/69,Polio3,18605
Dhanusha,2068/69,Measles 9-11 months,17723
Dhanusha,2068/69,Measles 12-23,531
Dhanusha,2068/69,Japenese Encephalitis,9530
Dhanusha,2068/69,TT 1,10301
Dhanusha,2068/69,TT2,10590
Dhanusha,2068/69,TT 2+,10485
Mahottari,2068/69,BCG,13896
Mahottari,2068/69,DPT-HepB 1,13721
Mahottari,2068/69,DPT-HepB 2,13784
Mahottari,2068/69,DPT-HepB 3,13456
Mahottari,2068/69,Polio1,14021
Mahottari,2068/69,Polio2,13784
Mahottari,2068/69,Polio3,13456
Mahottari,2068/69,Measles 9-11 months,13198
Mahottari,2068/69,Measles 12-23,395
Mahottari,2068/69,Japenese Encephalitis,9828
Mahottari,2068/69,TT 1,14155
Mahottari,2068/69,TT2,14126
Mahottari,2068/69,TT 2+,1446
Sarlahi,2068/69,BCG,20948
Sarlahi,2068/69,DPT-HepB 1,20188
Sarlahi,2068/69,DPT-HepB 2,18955
Sarlahi,2068/69,DPT-HepB 3,18300
Sarlahi,2068/69,Polio1,20184
Sarlahi,2068/69,Polio2,18956
Sarlahi,2068/69,Polio3,18331
Sarlahi,2068/69,Measles 9-11 months,16968
Sarlahi,2068/69,Measles 12-23,825
Sarlahi,2068/69,Japenese Encephalitis,9885
Sarlahi,2068/69,TT 1,13060
Sarlahi,2068/69,TT2,14762
Sarlahi,2068/69,TT 2+,9661
Sindhuli,2068/69,BCG,6553
Sindhuli,2068/69,DPT-HepB 1,6407
Sindhuli,2068/69,DPT-HepB 2,6224
Sindhuli,2068/69,DPT-HepB 3,5953
Sindhuli,2068/69,Polio1,6395
Sindhuli,2068/69,Polio2,6205
Sindhuli,2068/69,Polio3,5939
Sindhuli,2068/69,Measles 9-11 months,5620
Sindhuli,2068/69,Measles 12-23,259
Sindhuli,2068/69,Japenese Encephalitis,0
Sindhuli,2068/69,TT 1,3155
Sindhuli,2068/69,TT2,2633
Sindhuli,2068/69,TT 2+,1766
Ramechhap,2068/69,BCG,3711
Ramechhap,2068/69,DPT-HepB 1,3765
Ramechhap,2068/69,DPT-HepB 2,3827
Ramechhap,2068/69,DPT-HepB 3,3918
Ramechhap,2068/69,Polio1,3764
Ramechhap,2068/69,Polio2,3797
Ramechhap,2068/69,Polio3,3895
Ramechhap,2068/69,Measles 9-11 months,3762
Ramechhap,2068/69,Measles 12-23,28
Ramechhap,2068/69,Japenese Encephalitis,0
Ramechhap,2068/69,TT 1,2065
Ramechhap,2068/69,TT2,2308
Ramechhap,2068/69,TT 2+,717
Dolkha,2068/69,BCG,3938
Dolkha,2068/69,DPT-HepB 1,3953
Dolkha,2068/69,DPT-HepB 2,3928
Dolkha,2068/69,DPT-HepB 3,3983
Dolkha,2068/69,Polio1,3963
Dolkha,2068/69,Polio2,3849
Dolkha,2068/69,Polio3,3983
Dolkha,2068/69,Measles 9-11 months,3881
Dolkha,2068/69,Measles 12-23,61
Dolkha,2068/69,Japenese Encephalitis,0
Dolkha,2068/69,TT 1,2061
Dolkha,2068/69,TT2,2335
Dolkha,2068/69,TT 2+,1170
Sindhupalchowk,2068/69,BCG,5216
Sindhupalchowk,2068/69,DPT-HepB 1,5908
Sindhupalchowk,2068/69,DPT-HepB 2,5947
Sindhupalchowk,2068/69,DPT-HepB 3,5905
Sindhupalchowk,2068/69,Polio1,5912
Sindhupalchowk,2068/69,Polio2,5950
Sindhupalchowk,2068/69,Polio3,5903
Sindhupalchowk,2068/69,Measles 9-11 months,5666
Sindhupalchowk,2068/69,Measles 12-23,78
Sindhupalchowk,2068/69,Japenese Encephalitis,0
Sindhupalchowk,2068/69,TT 1,1266
Sindhupalchowk,2068/69,TT2,1786
Sindhupalchowk,2068/69,TT 2+,2298
Kavre,2068/69,BCG,7493
Kavre,2068/69,DPT-HepB 1,7961
Kavre,2068/69,DPT-HepB 2,7895
Kavre,2068/69,DPT-HepB 3,7995
Kavre,2068/69,Polio1,7961
Kavre,2068/69,Polio2,7895
Kavre,2068/69,Polio3,7984
Kavre,2068/69,Measles 9-11 months,7573
Kavre,2068/69,Measles 12-23,49
Kavre,2068/69,Japenese Encephalitis,3320
Kavre,2068/69,TT 1,5010
Kavre,2068/69,TT2,4506
Kavre,2068/69,TT 2+,1695
Lalitpur,2068/69,BCG,11691
Lalitpur,2068/69,DPT-HepB 1,6612
Lalitpur,2068/69,DPT-HepB 2,7195
Lalitpur,2068/69,DPT-HepB 3,8183
Lalitpur,2068/69,Polio1,6612
Lalitpur,2068/69,Polio2,7195
Lalitpur,2068/69,Polio3,8183
Lalitpur,2068/69,Measles 9-11 months,7692
Lalitpur,2068/69,Measles 12-23,0
Lalitpur,2068/69,Japenese Encephalitis,4892
Lalitpur,2068/69,TT 1,1154
Lalitpur,2068/69,TT2,9849
Lalitpur,2068/69,TT 2+,4677
Bhaktapur,2068/69,BCG,3266
Bhaktapur,2068/69,DPT-HepB 1,4821
Bhaktapur,2068/69,DPT-HepB 2,5020
Bhaktapur,2068/69,DPT-HepB 3,5249
Bhaktapur,2068/69,Polio1,4836
Bhaktapur,2068/69,Polio2,5020
Bhaktapur,2068/69,Polio3,5261
Bhaktapur,2068/69,Measles 9-11 months,5474
Bhaktapur,2068/69,Measles 12-23,98
Bhaktapur,2068/69,Japenese Encephalitis,4231
Bhaktapur,2068/69,TT 1,2991
Bhaktapur,2068/69,TT2,2648
Bhaktapur,2068/69,TT 2+,508
Kathmandu,2068/69,BCG,41140
Kathmandu,2068/69,DPT-HepB 1,28832
Kathmandu,2068/69,DPT-HepB 2,28974
Kathmandu,2068/69,DPT-HepB 3,29787
Kathmandu,2068/69,Polio1,28881
Kathmandu,2068/69,Polio2,28966
Kathmandu,2068/69,Polio3,29826
Kathmandu,2068/69,Measles 9-11 months,29304
Kathmandu,2068/69,Measles 12-23,703
Kathmandu,2068/69,Japenese Encephalitis,10635
Kathmandu,2068/69,TT 1,23272
Kathmandu,2068/69,TT2,17490
Kathmandu,2068/69,TT 2+,2946
Nuwakot,2068/69,BCG,5211
Nuwakot,2068/69,DPT-HepB 1,5625
Nuwakot,2068/69,DPT-HepB 2,5576
Nuwakot,2068/69,DPT-HepB 3,5592
Nuwakot,2068/69,Polio1,5616
Nuwakot,2068/69,Polio2,5574
Nuwakot,2068/69,Polio3,5594
Nuwakot,2068/69,Measles 9-11 months,4890
Nuwakot,2068/69,Measles 12-23,131
Nuwakot,2068/69,Japenese Encephalitis,0
Nuwakot,2068/69,TT 1,1803
Nuwakot,2068/69,TT2,1822
Nuwakot,2068/69,TT 2+,2391
Rasuwa,2068/69,BCG,1007
Rasuwa,2068/69,DPT-HepB 1,1066
Rasuwa,2068/69,DPT-HepB 2,1039
Rasuwa,2068/69,DPT-HepB 3,1056
Rasuwa,2068/69,Polio1,1066
Rasuwa,2068/69,Polio2,1039
Rasuwa,2068/69,Polio3,1056
Rasuwa,2068/69,Measles 9-11 months,998
Rasuwa,2068/69,Measles 12-23,7
Rasuwa,2068/69,Japenese Encephalitis,0
Rasuwa,2068/69,TT 1,168
Rasuwa,2068/69,TT2,612
Rasuwa,2068/69,TT 2+,335
Dhading,2068/69,BCG,7839
Dhading,2068/69,DPT-HepB 1,7914
Dhading,2068/69,DPT-HepB 2,7792
Dhading,2068/69,DPT-HepB 3,7849
Dhading,2068/69,Polio1,7914
Dhading,2068/69,Polio2,7792
Dhading,2068/69,Polio3,7849
Dhading,2068/69,Measles 9-11 months,8107
Dhading,2068/69,Measles 12-23,19
Dhading,2068/69,Japenese Encephalitis,773
Dhading,2068/69,TT 1,1636
Dhading,2068/69,TT2,3647
Dhading,2068/69,TT 2+,4048
Makawanpur,2068/69,BCG,8781
Makawanpur,2068/69,DPT-HepB 1,8898
Makawanpur,2068/69,DPT-HepB 2,8741
Makawanpur,2068/69,DPT-HepB 3,8646
Makawanpur,2068/69,Polio1,9097
Makawanpur,2068/69,Polio2,8733
Makawanpur,2068/69,Polio3,8646
Makawanpur,2068/69,Measles 9-11 months,8309
Makawanpur,2068/69,Measles 12-23,207
Makawanpur,2068/69,Japenese Encephalitis,4701
Makawanpur,2068/69,TT 1,4107
Makawanpur,2068/69,TT2,3655
Makawanpur,2068/69,TT 2+,1998
Rautahat,2068/69,BCG,18196
Rautahat,2068/69,DPT-HepB 1,17854
Rautahat,2068/69,DPT-HepB 2,17306
Rautahat,2068/69,DPT-HepB 3,16703
Rautahat,2068/69,Polio1,17958
Rautahat,2068/69,Polio2,17086
Rautahat,2068/69,Polio3,16391
Rautahat,2068/69,Measles 9-11 months,14954
Rautahat,2068/69,Measles 12-23,543
Rautahat,2068/69,Japenese Encephalitis,9304
Rautahat,2068/69,TT 1,15801
Rautahat,2068/69,TT2,10073
Rautahat,2068/69,TT 2+,7330
Bara,2068/69,BCG,17245
Bara,2068/69,DPT-HepB 1,16910
Bara,2068/69,DPT-HepB 2,16468
Bara,2068/69,DPT-HepB 3,15958
Bara,2068/69,Polio1,16930
Bara,2068/69,Polio2,16351
Bara,2068/69,Polio3,15901
Bara,2068/69,Measles 9-11 months,15130
Bara,2068/69,Measles 12-23,306
Bara,2068/69,Japenese Encephalitis,9183
Bara,2068/69,TT 1,7723
Bara,2068/69,TT2,7029
Bara,2068/69,TT 2+,8779
Parsa,2068/69,BCG,11555
Parsa,2068/69,DPT-HepB 1,0
Parsa,2068/69,DPT-HepB 2,0
Parsa,2068/69,DPT-HepB 3,11678
Parsa,2068/69,Polio1,0
Parsa,2068/69,Polio2,0
Parsa,2068/69,Polio3,11656
Parsa,2068/69,Measles 9-11 months,10666
Parsa,2068/69,Measles 12-23,0
Parsa,2068/69,Japenese Encephalitis,8328
Parsa,2068/69,TT 1,0
Parsa,2068/69,TT2,2680
Parsa,2068/69,TT 2+,6208
Chitwan,2068/69,BCG,13456
Chitwan,2068/69,DPT-HepB 1,11370
Chitwan,2068/69,DPT-HepB 2,11050
Chitwan,2068/69,DPT-HepB 3,11155
Chitwan,2068/69,Polio1,11370
Chitwan,2068/69,Polio2,11028
Chitwan,2068/69,Polio3,11155
Chitwan,2068/69,Measles 9-11 months,10704
Chitwan,2068/69,Measles 12-23,57
Chitwan,2068/69,Japenese Encephalitis,8541
Chitwan,2068/69,TT 1,6436
Chitwan,2068/69,TT2,5459
Chitwan,2068/69,TT 2+,2909
Gorkha,2068/69,BCG,5276
Gorkha,2068/69,DPT-HepB 1,5576
Gorkha,2068/69,DPT-HepB 2,5487
Gorkha,2068/69,DPT-HepB 3,5628
Gorkha,2068/69,Polio1,5576
Gorkha,2068/69,Polio2,5487
Gorkha,2068/69,Polio3,5628
Gorkha,2068/69,Measles 9-11 months,5251
Gorkha,2068/69,Measles 12-23,53
Gorkha,2068/69,Japenese Encephalitis,0
Gorkha,2068/69,TT 1,2584
Gorkha,2068/69,TT2,3030
Gorkha,2068/69,TT 2+,1486
Lamjung,2068/69,BCG,3392
Lamjung,2068/69,DPT-HepB 1,3556
Lamjung,2068/69,DPT-HepB 2,3503
Lamjung,2068/69,DPT-HepB 3,3506
Lamjung,2068/69,Polio1,3556
Lamjung,2068/69,Polio2,3503
Lamjung,2068/69,Polio3,3506
Lamjung,2068/69,Measles 9-11 months,3483
Lamjung,2068/69,Measles 12-23,20
Lamjung,2068/69,Japenese Encephalitis,0
Lamjung,2068/69,TT 1,1609
Lamjung,2068/69,TT2,2164
Lamjung,2068/69,TT 2+,1222
Tanahu,2068/69,BCG,6320
Tanahu,2068/69,DPT-HepB 1,6840
Tanahu,2068/69,DPT-HepB 2,6783
Tanahu,2068/69,DPT-HepB 3,6793
Tanahu,2068/69,Polio1,6843
Tanahu,2068/69,Polio2,6783
Tanahu,2068/69,Polio3,6793
Tanahu,2068/69,Measles 9-11 months,6392
Tanahu,2068/69,Measles 12-23,27
Tanahu,2068/69,Japenese Encephalitis,0
Tanahu,2068/69,TT 1,3232
Tanahu,2068/69,TT2,3662
Tanahu,2068/69,TT 2+,1412
Syangja,2068/69,BCG,5947
Syangja,2068/69,DPT-HepB 1,6890
Syangja,2068/69,DPT-HepB 2,6898
Syangja,2068/69,DPT-HepB 3,6887
Syangja,2068/69,Polio1,6886
Syangja,2068/69,Polio2,7309
Syangja,2068/69,Polio3,6897
Syangja,2068/69,Measles 9-11 months,6684
Syangja,2068/69,Measles 12-23,47
Syangja,2068/69,Japenese Encephalitis,0
Syangja,2068/69,TT 1,466
Syangja,2068/69,TT2,3433
Syangja,2068/69,TT 2+,4101
Kaski,2068/69,BCG,12962
Kaski,2068/69,DPT-HepB 1,9145
Kaski,2068/69,DPT-HepB 2,9280
Kaski,2068/69,DPT-HepB 3,9691
Kaski,2068/69,Polio1,9145
Kaski,2068/69,Polio2,9280
Kaski,2068/69,Polio3,9691
Kaski,2068/69,Measles 9-11 months,9580
Kaski,2068/69,Measles 12-23,145
Kaski,2068/69,Japenese Encephalitis,3558
Kaski,2068/69,TT 1,2818
Kaski,2068/69,TT2,5002
Kaski,2068/69,TT 2+,5487
Manang,2068/69,BCG,39
Manang,2068/69,DPT-HepB 1,45
Manang,2068/69,DPT-HepB 2,60
Manang,2068/69,DPT-HepB 3,65
Manang,2068/69,Polio1,45
Manang,2068/69,Polio2,60
Manang,2068/69,Polio3,65
Manang,2068/69,Measles 9-11 months,62
Manang,2068/69,Measles 12-23,1
Manang,2068/69,Japenese Encephalitis,0
Manang,2068/69,TT 1,45
Manang,2068/69,TT2,32
Manang,2068/69,TT 2+,12
Mustang,2068/69,BCG,218
Mustang,2068/69,DPT-HepB 1,243
Mustang,2068/69,DPT-HepB 2,232
Mustang,2068/69,DPT-HepB 3,246
Mustang,2068/69,Polio1,243
Mustang,2068/69,Polio2,232
Mustang,2068/69,Polio3,246
Mustang,2068/69,Measles 9-11 months,257
Mustang,2068/69,Measles 12-23,1
Mustang,2068/69,Japenese Encephalitis,0
Mustang,2068/69,TT 1,75
Mustang,2068/69,TT2,158
Mustang,2068/69,TT 2+,90
Myagdi,2068/69,BCG,2439
Myagdi,2068/69,DPT-HepB 1,2687
Myagdi,2068/69,DPT-HepB 2,2662
Myagdi,2068/69,DPT-HepB 3,2702
Myagdi,2068/69,Polio1,2690
Myagdi,2068/69,Polio2,2662
Myagdi,2068/69,Polio3,2702
Myagdi,2068/69,Measles 9-11 months,2547
Myagdi,2068/69,Measles 12-23,15
Myagdi,2068/69,Japenese Encephalitis,0
Myagdi,2068/69,TT 1,1028
Myagdi,2068/69,TT2,1101
Myagdi,2068/69,TT 2+,1286
Parbat,2068/69,BCG,2904
Parbat,2068/69,DPT-HepB 1,3148
Parbat,2068/69,DPT-HepB 2,3132
Parbat,2068/69,DPT-HepB 3,3171
Parbat,2068/69,Polio1,3148
Parbat,2068/69,Polio2,3121
Parbat,2068/69,Polio3,3171
Parbat,2068/69,Measles 9-11 months,3151
Parbat,2068/69,Measles 12-23,31
Parbat,2068/69,Japenese Encephalitis,0
Parbat,2068/69,TT 1,506
Parbat,2068/69,TT2,1255
Parbat,2068/69,TT 2+,1980
Baglung,2068/69,BCG,6612
Baglung,2068/69,DPT-HepB 1,6609
Baglung,2068/69,DPT-HepB 2,6371
Baglung,2068/69,DPT-HepB 3,6544
Baglung,2068/69,Polio1,6609
Baglung,2068/69,Polio2,6371
Baglung,2068/69,Polio3,6544
Baglung,2068/69,Measles 9-11 months,6342
Baglung,2068/69,Measles 12-23,0
Baglung,2068/69,Japenese Encephalitis,0
Baglung,2068/69,TT 1,3693
Baglung,2068/69,TT2,3956
Baglung,2068/69,TT 2+,1033
Gulmi,2068/69,BCG,6629
Gulmi,2068/69,DPT-HepB 1,6650
Gulmi,2068/69,DPT-HepB 2,6649
Gulmi,2068/69,DPT-HepB 3,6697
Gulmi,2068/69,Polio1,6651
Gulmi,2068/69,Polio2,6650
Gulmi,2068/69,Polio3,6686
Gulmi,2068/69,Measles 9-11 months,6601
Gulmi,2068/69,Measles 12-23,41
Gulmi,2068/69,Japenese Encephalitis,0
Gulmi,2068/69,TT 1,762
Gulmi,2068/69,TT2,3262
Gulmi,2068/69,TT 2+,4727
Palpa,2068/69,BCG,6371
Palpa,2068/69,DPT-HepB 1,5492
Palpa,2068/69,DPT-HepB 2,5432
Palpa,2068/69,DPT-HepB 3,5495
Palpa,2068/69,Polio1,5492
Palpa,2068/69,Polio2,5432
Palpa,2068/69,Polio3,5495
Palpa,2068/69,Measles 9-11 months,5250
Palpa,2068/69,Measles 12-23,53
Palpa,2068/69,Japenese Encephalitis,2889
Palpa,2068/69,TT 1,544
Palpa,2068/69,TT2,512
Palpa,2068/69,TT 2+,4261
Nawalparasi,2068/69,BCG,13310
Nawalparasi,2068/69,DPT-HepB 1,13852
Nawalparasi,2068/69,DPT-HepB 2,13594
Nawalparasi,2068/69,DPT-HepB 3,13555
Nawalparasi,2068/69,Polio1,13852
Nawalparasi,2068/69,Polio2,13694
Nawalparasi,2068/69,Polio3,13555
Nawalparasi,2068/69,Measles 9-11 months,13816
Nawalparasi,2068/69,Measles 12-23,86
Nawalparasi,2068/69,Japenese Encephalitis,10841
Nawalparasi,2068/69,TT 1,6455
Nawalparasi,2068/69,TT2,7644
Nawalparasi,2068/69,TT 2+,4561
Rupandehi,2068/69,BCG,25066
Rupandehi,2068/69,DPT-HepB 1,21430
Rupandehi,2068/69,DPT-HepB 2,21206
Rupandehi,2068/69,DPT-HepB 3,21491
Rupandehi,2068/69,Polio1,21430
Rupandehi,2068/69,Polio2,21206
Rupandehi,2068/69,Polio3,21491
Rupandehi,2068/69,Measles 9-11 months,21118
Rupandehi,2068/69,Measles 12-23,0
Rupandehi,2068/69,Japenese Encephalitis,18776
Rupandehi,2068/69,TT 1,0
Rupandehi,2068/69,TT2,13286
Rupandehi,2068/69,TT 2+,19245
Kapilvastu,2068/69,BCG,15678
Kapilvastu,2068/69,DPT-HepB 1,14303
Kapilvastu,2068/69,DPT-HepB 2,13799
Kapilvastu,2068/69,DPT-HepB 3,13674
Kapilvastu,2068/69,Polio1,14356
Kapilvastu,2068/69,Polio2,13823
Kapilvastu,2068/69,Polio3,13676
Kapilvastu,2068/69,Measles 9-11 months,11836
Kapilvastu,2068/69,Measles 12-23,267
Kapilvastu,2068/69,Japenese Encephalitis,10447
Kapilvastu,2068/69,TT 1,3838
Kapilvastu,2068/69,TT2,7334
Kapilvastu,2068/69,TT 2+,14644
Arghakhanchi,2068/69,BCG,4649
Arghakhanchi,2068/69,DPT-HepB 1,4890
Arghakhanchi,2068/69,DPT-HepB 2,4601
Arghakhanchi,2068/69,DPT-HepB 3,4699
Arghakhanchi,2068/69,Polio1,4916
Arghakhanchi,2068/69,Polio2,4620
Arghakhanchi,2068/69,Polio3,4703
Arghakhanchi,2068/69,Measles 9-11 months,4616
Arghakhanchi,2068/69,Measles 12-23,18
Arghakhanchi,2068/69,Japenese Encephalitis,0
Arghakhanchi,2068/69,TT 1,1205
Arghakhanchi,2068/69,TT2,2269
Arghakhanchi,2068/69,TT 2+,2206
Pyuthan,2068/69,BCG,6755
Pyuthan,2068/69,DPT-HepB 1,6644
Pyuthan,2068/69,DPT-HepB 2,6610
Pyuthan,2068/69,DPT-HepB 3,6531
Pyuthan,2068/69,Polio1,6644
Pyuthan,2068/69,Polio2,6610
Pyuthan,2068/69,Polio3,6531
Pyuthan,2068/69,Measles 9-11 months,6590
Pyuthan,2068/69,Measles 12-23,12
Pyuthan,2068/69,Japenese Encephalitis,0
Pyuthan,2068/69,TT 1,2238
Pyuthan,2068/69,TT2,2579
Pyuthan,2068/69,TT 2+,2935
Rolpa,2068/69,BCG,5960
Rolpa,2068/69,DPT-HepB 1,5822
Rolpa,2068/69,DPT-HepB 2,5767
Rolpa,2068/69,DPT-HepB 3,5753
Rolpa,2068/69,Polio1,5716
Rolpa,2068/69,Polio2,5691
Rolpa,2068/69,Polio3,5651
Rolpa,2068/69,Measles 9-11 months,5711
Rolpa,2068/69,Measles 12-23,88
Rolpa,2068/69,Japenese Encephalitis,0
Rolpa,2068/69,TT 1,1563
Rolpa,2068/69,TT2,2307
Rolpa,2068/69,TT 2+,2215
Rukum,2068/69,BCG,5364
Rukum,2068/69,DPT-HepB 1,5283
Rukum,2068/69,DPT-HepB 2,5272
Rukum,2068/69,DPT-HepB 3,5121
Rukum,2068/69,Polio1,5283
Rukum,2068/69,Polio2,5172
Rukum,2068/69,Polio3,5121
Rukum,2068/69,Measles 9-11 months,4868
Rukum,2068/69,Measles 12-23,208
Rukum,2068/69,Japenese Encephalitis,0
Rukum,2068/69,TT 1,2964
Rukum,2068/69,TT2,2607
Rukum,2068/69,TT 2+,1472
Salyan,2068/69,BCG,5714
