District,Year,Clinical Malaria/Total Treatment,Age group,Gender,Number of people
Khotang,2069/70,Clinical Malaria,Under 5 Years,Female,0
Khotang,2069/70,Clinical Malaria,5 Years & Above,Male,0
Khotang,2069/70,Total Treatment,Under 5 Years,Female,0
Khotang,2069/70,Total Treatment,5 Years & Above,Male,0
Khotang,2069/70,Total Treatment,Under 5 Years,Female,0
Khotang,2069/70,Total Treatment,5 Years & Above,Male,0
Udaypur,2069/70,Clinical Malaria,Under 5 Years,Female,6
Udaypur,2069/70,Clinical Malaria,5 Years & Above,Male,4
Udaypur,2069/70,Clinical Malaria,Under 5 Years,Female,33
Udaypur,2069/70,Clinical Malaria,5 Years & Above,Male,45
Udaypur,2069/70,Total Treatment,Under 5 Years,Female,0
Udaypur,2069/70,Total Treatment,5 Years & Above,Male,1
Udaypur,2069/70,Total Treatment,Under 5 Years,Female,14
Udaypur,2069/70,Total Treatment,5 Years & Above,Male,24
Saptari,2069/70,Clinical Malaria,Under 5 Years,Female,31
Saptari,2069/70,Clinical Malaria,5 Years & Above,Male,29
Saptari,2069/70,Clinical Malaria,Under 5 Years,Female,925
Saptari,2069/70,Clinical Malaria,5 Years & Above,Male,856
Saptari,2069/70,Total Treatment,Under 5 Years,Female,26
Saptari,2069/70,Total Treatment,5 Years & Above,Male,28
Saptari,2069/70,Total Treatment,Under 5 Years,Female,704
Saptari,2069/70,Total Treatment,5 Years & Above,Male,678
Siraha,2069/70,Clinical Malaria,Under 5 Years,Female,58
Siraha,2069/70,Clinical Malaria,5 Years & Above,Male,42
Siraha,2069/70,Clinical Malaria,Under 5 Years,Female,688
Siraha,2069/70,Clinical Malaria,5 Years & Above,Male,597
Siraha,2069/70,Total Treatment,Under 5 Years,Female,1
Siraha,2069/70,Total Treatment,5 Years & Above,Male,0
Siraha,2069/70,Total Treatment,Under 5 Years,Female,62
Siraha,2069/70,Total Treatment,5 Years & Above,Male,54
Dhanusha,2069/70,Clinical Malaria,Under 5 Years,Female,852
Dhanusha,2069/70,Clinical Malaria,5 Years & Above,Male,894
Dhanusha,2069/70,Clinical Malaria,Under 5 Years,Female,3007
Dhanusha,2069/70,Clinical Malaria,5 Years & Above,Male,3231
Dhanusha,2069/70,Total Treatment,Under 5 Years,Female,22
Dhanusha,2069/70,Total Treatment,5 Years & Above,Male,19
Dhanusha,2069/70,Total Treatment,Under 5 Years,Female,108
Dhanusha,2069/70,Total Treatment,5 Years & Above,Male,105
Mahottari,2069/70,Clinical Malaria,Under 5 Years,Female,345
Mahottari,2069/70,Clinical Malaria,5 Years & Above,Male,330
Mahottari,2069/70,Clinical Malaria,Under 5 Years,Female,1186
Mahottari,2069/70,Clinical Malaria,5 Years & Above,Male,1337
Mahottari,2069/70,Total Treatment,Under 5 Years,Female,233
Mahottari,2069/70,Total Treatment,5 Years & Above,Male,241
Mahottari,2069/70,Total Treatment,Under 5 Years,Female,781
Mahottari,2069/70,Total Treatment,5 Years & Above,Male,890
Sarlahi,2069/70,Clinical Malaria,Under 5 Years,Female,10
Sarlahi,2069/70,Clinical Malaria,5 Years & Above,Male,10
Sarlahi,2069/70,Clinical Malaria,Under 5 Years,Female,429
Sarlahi,2069/70,Clinical Malaria,5 Years & Above,Male,777
Sarlahi,2069/70,Total Treatment,Under 5 Years,Female,2
Sarlahi,2069/70,Total Treatment,5 Years & Above,Male,4
Sarlahi,2069/70,Total Treatment,Under 5 Years,Female,85
Sarlahi,2069/70,Total Treatment,5 Years & Above,Male,152
Sindhuli,2069/70,Clinical Malaria,Under 5 Years,Female,10
Sindhuli,2069/70,Clinical Malaria,5 Years & Above,Male,11
Sindhuli,2069/70,Clinical Malaria,Under 5 Years,Female,170
Sindhuli,2069/70,Clinical Malaria,5 Years & Above,Male,218
Sindhuli,2069/70,Total Treatment,Under 5 Years,Female,0
Sindhuli,2069/70,Total Treatment,5 Years & Above,Male,0
Sindhuli,2069/70,Total Treatment,Under 5 Years,Female,27
Sindhuli,2069/70,Total Treatment,5 Years & Above,Male,33
Ramechhap,2069/70,Clinical Malaria,Under 5 Years,Female,0
Ramechhap,2069/70,Clinical Malaria,5 Years & Above,Male,0
Ramechhap,2069/70,Clinical Malaria,Under 5 Years,Female,0
Ramechhap,2069/70,Clinical Malaria,5 Years & Above,Male,0
Ramechhap,2069/70,Total Treatment,Under 5 Years,Female,0
Ramechhap,2069/70,Total Treatment,5 Years & Above,Male,0
Ramechhap,2069/70,Total Treatment,Under 5 Years,Female,0
Ramechhap,2069/70,Total Treatment,5 Years & Above,Male,0
Dolkha,2069/70,Clinical Malaria,Under 5 Years,Female,0
Dolkha,2069/70,Clinical Malaria,5 Years & Above,Male,0
Dolkha,2069/70,Clinical Malaria,Under 5 Years,Female,0
Dolkha,2069/70,Clinical Malaria,5 Years & Above,Male,0
Dolkha,2069/70,Total Treatment,Under 5 Years,Female,0
Dolkha,2069/70,Total Treatment,5 Years & Above,Male,0
Dolkha,2069/70,Total Treatment,Under 5 Years,Female,0
Dolkha,2069/70,Total Treatment,5 Years & Above,Male,0
Sindhupalchowk,2069/70,Clinical Malaria,Under 5 Years,Female,2
Sindhupalchowk,2069/70,Clinical Malaria,5 Years & Above,Male,1
Sindhupalchowk,2069/70,Clinical Malaria,Under 5 Years,Female,37
Sindhupalchowk,2069/70,Clinical Malaria,5 Years & Above,Male,34
Sindhupalchowk,2069/70,Total Treatment,Under 5 Years,Female,0
Sindhupalchowk,2069/70,Total Treatment,5 Years & Above,Male,0
Sindhupalchowk,2069/70,Total Treatment,Under 5 Years,Female,18
Sindhupalchowk,2069/70,Total Treatment,5 Years & Above,Male,16
Kavre,2069/70,Clinical Malaria,Under 5 Years,Female,3
Kavre,2069/70,Clinical Malaria,5 Years & Above,Male,2
Kavre,2069/70,Clinical Malaria,Under 5 Years,Female,14
Kavre,2069/70,Clinical Malaria,5 Years & Above,Male,20
Kavre,2069/70,Total Treatment,Under 5 Years,Female,2
Kavre,2069/70,Total Treatment,5 Years & Above,Male,1
Kavre,2069/70,Total Treatment,Under 5 Years,Female,13
Kavre,2069/70,Total Treatment,5 Years & Above,Male,16
Lalitpur,2069/70,Clinical Malaria,Under 5 Years,Female,0
Lalitpur,2069/70,Clinical Malaria,5 Years & Above,Male,0
Lalitpur,2069/70,Clinical Malaria,Under 5 Years,Female,0
Lalitpur,2069/70,Clinical Malaria,5 Years & Above,Male,0
Lalitpur,2069/70,Total Treatment,Under 5 Years,Female,0
Lalitpur,2069/70,Total Treatment,5 Years & Above,Male,0
Lalitpur,2069/70,Total Treatment,Under 5 Years,Female,0
Lalitpur,2069/70,Total Treatment,5 Years & Above,Male,0
Bhaktapur,2069/70,Clinical Malaria,Under 5 Years,Female,0
Bhaktapur,2069/70,Clinical Malaria,5 Years & Above,Male,0
Bhaktapur,2069/70,Clinical Malaria,Under 5 Years,Female,0
Bhaktapur,2069/70,Clinical Malaria,5 Years & Above,Male,0
Bhaktapur,2069/70,Total Treatment,Under 5 Years,Female,0
Bhaktapur,2069/70,Total Treatment,5 Years & Above,Male,0
Bhaktapur,2069/70,Total Treatment,Under 5 Years,Female,0
Bhaktapur,2069/70,Total Treatment,5 Years & Above,Male,0
Kathmandu,2069/70,Clinical Malaria,Under 5 Years,Female,0
Kathmandu,2069/70,Clinical Malaria,5 Years & Above,Male,0
Kathmandu,2069/70,Clinical Malaria,Under 5 Years,Female,0
Kathmandu,2069/70,Clinical Malaria,5 Years & Above,Male,0
Kathmandu,2069/70,Total Treatment,Under 5 Years,Female,0
Kathmandu,2069/70,Total Treatment,5 Years & Above,Male,0
Kathmandu,2069/70,Total Treatment,Under 5 Years,Female,0
Kathmandu,2069/70,Total Treatment,5 Years & Above,Male,0
Nuwakot,2069/70,Clinical Malaria,Under 5 Years,Female,0
Nuwakot,2069/70,Clinical Malaria,5 Years & Above,Male,0
Nuwakot,2069/70,Clinical Malaria,Under 5 Years,Female,0
Nuwakot,2069/70,Clinical Malaria,5 Years & Above,Male,0
Nuwakot,2069/70,Total Treatment,Under 5 Years,Female,0
Nuwakot,2069/70,Total Treatment,5 Years & Above,Male,0
Nuwakot,2069/70,Total Treatment,Under 5 Years,Female,0
Nuwakot,2069/70,Total Treatment,5 Years & Above,Male,0
Rasuwa,2069/70,Clinical Malaria,Under 5 Years,Female,0
Rasuwa,2069/70,Clinical Malaria,5 Years & Above,Male,0
Rasuwa,2069/70,Clinical Malaria,Under 5 Years,Female,0
Rasuwa,2069/70,Clinical Malaria,5 Years & Above,Male,0
Rasuwa,2069/70,Total Treatment,Under 5 Years,Female,0
Rasuwa,2069/70,Total Treatment,5 Years & Above,Male,0
Rasuwa,2069/70,Total Treatment,Under 5 Years,Female,0
Rasuwa,2069/70,Total Treatment,5 Years & Above,Male,0
Dhading,2069/70,Clinical Malaria,Under 5 Years,Female,5
Dhading,2069/70,Clinical Malaria,5 Years & Above,Male,7
Dhading,2069/70,Clinical Malaria,Under 5 Years,Female,66
Dhading,2069/70,Clinical Malaria,5 Years & Above,Male,85
Dhading,2069/70,Total Treatment,Under 5 Years,Female,2
Dhading,2069/70,Total Treatment,5 Years & Above,Male,5
Dhading,2069/70,Total Treatment,Under 5 Years,Female,61
Dhading,2069/70,Total Treatment,5 Years & Above,Male,79
Makawanpur,2069/70,Clinical Malaria,Under 5 Years,Female,5
Makawanpur,2069/70,Clinical Malaria,5 Years & Above,Male,5
Makawanpur,2069/70,Clinical Malaria,Under 5 Years,Female,35
Makawanpur,2069/70,Clinical Malaria,5 Years & Above,Male,34
Makawanpur,2069/70,Total Treatment,Under 5 Years,Female,3
Makawanpur,2069/70,Total Treatment,5 Years & Above,Male,5
Makawanpur,2069/70,Total Treatment,Under 5 Years,Female,24
Makawanpur,2069/70,Total Treatment,5 Years & Above,Male,32
Rautahat,2069/70,Clinical Malaria,Under 5 Years,Female,35
Rautahat,2069/70,Clinical Malaria,5 Years & Above,Male,43
Rautahat,2069/70,Clinical Malaria,Under 5 Years,Female,2548
Rautahat,2069/70,Clinical Malaria,5 Years & Above,Male,2831
Rautahat,2069/70,Total Treatment,Under 5 Years,Female,23
Rautahat,2069/70,Total Treatment,5 Years & Above,Male,21
Rautahat,2069/70,Total Treatment,Under 5 Years,Female,2316
Rautahat,2069/70,Total Treatment,5 Years & Above,Male,2645
Bara,2069/70,Clinical Malaria,Under 5 Years,Female,32
Bara,2069/70,Clinical Malaria,5 Years & Above,Male,27
Bara,2069/70,Clinical Malaria,Under 5 Years,Female,933
Bara,2069/70,Clinical Malaria,5 Years & Above,Male,1013
Bara,2069/70,Total Treatment,Under 5 Years,Female,21
Bara,2069/70,Total Treatment,5 Years & Above,Male,15
Bara,2069/70,Total Treatment,Under 5 Years,Female,392
Bara,2069/70,Total Treatment,5 Years & Above,Male,387
Parsa,2069/70,Clinical Malaria,Under 5 Years,Female,0
Parsa,2069/70,Clinical Malaria,5 Years & Above,Male,0
Parsa,2069/70,Clinical Malaria,Under 5 Years,Female,0
Parsa,2069/70,Clinical Malaria,5 Years & Above,Male,0
Parsa,2069/70,Total Treatment,Under 5 Years,Female,0
Parsa,2069/70,Total Treatment,5 Years & Above,Male,0
Parsa,2069/70,Total Treatment,Under 5 Years,Female,0
Parsa,2069/70,Total Treatment,5 Years & Above,Male,0
Chitwan,2069/70,Clinical Malaria,Under 5 Years,Female,2
Chitwan,2069/70,Clinical Malaria,5 Years & Above,Male,4
Chitwan,2069/70,Clinical Malaria,Under 5 Years,Female,96
Chitwan,2069/70,Clinical Malaria,5 Years & Above,Male,102
Chitwan,2069/70,Total Treatment,Under 5 Years,Female,1
Chitwan,2069/70,Total Treatment,5 Years & Above,Male,1
Chitwan,2069/70,Total Treatment,Under 5 Years,Female,44
Chitwan,2069/70,Total Treatment,5 Years & Above,Male,63
Gorkha,2069/70,Clinical Malaria,Under 5 Years,Female,0
Gorkha,2069/70,Clinical Malaria,5 Years & Above,Male,1
Gorkha,2069/70,Clinical Malaria,Under 5 Years,Female,11
Gorkha,2069/70,Clinical Malaria,5 Years & Above,Male,16
Gorkha,2069/70,Total Treatment,Under 5 Years,Female,0
Gorkha,2069/70,Total Treatment,5 Years & Above,Male,0
Gorkha,2069/70,Total Treatment,Under 5 Years,Female,7
Gorkha,2069/70,Total Treatment,5 Years & Above,Male,6
Lamjung,2069/70,Clinical Malaria,Under 5 Years,Female,0
Lamjung,2069/70,Clinical Malaria,5 Years & Above,Male,0
Lamjung,2069/70,Clinical Malaria,Under 5 Years,Female,0
Lamjung,2069/70,Clinical Malaria,5 Years & Above,Male,2
Lamjung,2069/70,Total Treatment,Under 5 Years,Female,0
Lamjung,2069/70,Total Treatment,5 Years & Above,Male,0
Lamjung,2069/70,Total Treatment,Under 5 Years,Female,0
Lamjung,2069/70,Total Treatment,5 Years & Above,Male,2
Tanahu,2069/70,Clinical Malaria,Under 5 Years,Female,4
Tanahu,2069/70,Clinical Malaria,5 Years & Above,Male,6
Tanahu,2069/70,Clinical Malaria,Under 5 Years,Female,0
Tanahu,2069/70,Clinical Malaria,5 Years & Above,Male,0
Tanahu,2069/70,Total Treatment,Under 5 Years,Female,4
Tanahu,2069/70,Total Treatment,5 Years & Above,Male,6
Tanahu,2069/70,Total Treatment,Under 5 Years,Female,0
Tanahu,2069/70,Total Treatment,5 Years & Above,Male,0
Syangja,2069/70,Clinical Malaria,Under 5 Years,Female,0
Syangja,2069/70,Clinical Malaria,5 Years & Above,Male,0
Syangja,2069/70,Clinical Malaria,Under 5 Years,Female,0
Syangja,2069/70,Clinical Malaria,5 Years & Above,Male,0
Syangja,2069/70,Total Treatment,Under 5 Years,Female,201
Syangja,2069/70,Total Treatment,5 Years & Above,Male,0
Syangja,2069/70,Total Treatment,Under 5 Years,Female,3
Syangja,2069/70,Total Treatment,5 Years & Above,Male,2
Kaski,2069/70,Clinical Malaria,Under 5 Years,Female,0
Kaski,2069/70,Clinical Malaria,5 Years & Above,Male,1
Kaski,2069/70,Clinical Malaria,Under 5 Years,Female,16
Kaski,2069/70,Clinical Malaria,5 Years & Above,Male,15
Kaski,2069/70,Total Treatment,Under 5 Years,Female,0
Kaski,2069/70,Total Treatment,5 Years & Above,Male,3
Kaski,2069/70,Total Treatment,Under 5 Years,Female,24
Kaski,2069/70,Total Treatment,5 Years & Above,Male,42
Manang,2069/70,Clinical Malaria,Under 5 Years,Female,0
Manang,2069/70,Clinical Malaria,5 Years & Above,Male,0
Manang,2069/70,Clinical Malaria,Under 5 Years,Female,0
Manang,2069/70,Clinical Malaria,5 Years & Above,Male,0
Manang,2069/70,Total Treatment,Under 5 Years,Female,0
Manang,2069/70,Total Treatment,5 Years & Above,Male,0
Manang,2069/70,Total Treatment,Under 5 Years,Female,0
Manang,2069/70,Total Treatment,5 Years & Above,Male,0
Mustang,2069/70,Clinical Malaria,Under 5 Years,Female,0
Mustang,2069/70,Clinical Malaria,5 Years & Above,Male,0
Mustang,2069/70,Clinical Malaria,Under 5 Years,Female,0
Mustang,2069/70,Clinical Malaria,5 Years & Above,Male,0
Mustang,2069/70,Total Treatment,Under 5 Years,Female,0
Mustang,2069/70,Total Treatment,5 Years & Above,Male,0
Mustang,2069/70,Total Treatment,Under 5 Years,Female,0
Mustang,2069/70,Total Treatment,5 Years & Above,Male,0
Myagdi,2069/70,Clinical Malaria,Under 5 Years,Female,0
Myagdi,2069/70,Clinical Malaria,5 Years & Above,Male,0
Myagdi,2069/70,Clinical Malaria,Under 5 Years,Female,0
Myagdi,2069/70,Clinical Malaria,5 Years & Above,Male,0
Myagdi,2069/70,Total Treatment,Under 5 Years,Female,0
Myagdi,2069/70,Total Treatment,5 Years & Above,Male,0
Myagdi,2069/70,Total Treatment,Under 5 Years,Female,0
Myagdi,2069/70,Total Treatment,5 Years & Above,Male,0
Parbat,2069/70,Clinical Malaria,Under 5 Years,Female,0
Parbat,2069/70,Clinical Malaria,5 Years & Above,Male,0
Parbat,2069/70,Clinical Malaria,Under 5 Years,Female,5
Parbat,2069/70,Clinical Malaria,5 Years & Above,Male,7
Parbat,2069/70,Total Treatment,Under 5 Years,Female,0
Parbat,2069/70,Total Treatment,5 Years & Above,Male,0
Parbat,2069/70,Total Treatment,Under 5 Years,Female,0
Parbat,2069/70,Total Treatment,5 Years & Above,Male,2
Baglung,2069/70,Clinical Malaria,Under 5 Years,Female,0
Baglung,2069/70,Clinical Malaria,5 Years & Above,Male,0
Baglung,2069/70,Clinical Malaria,Under 5 Years,Female,0
Baglung,2069/70,Clinical Malaria,5 Years & Above,Male,0
Baglung,2069/70,Total Treatment,Under 5 Years,Female,0
Baglung,2069/70,Total Treatment,5 Years & Above,Male,0
Baglung,2069/70,Total Treatment,Under 5 Years,Female,0
Baglung,2069/70,Total Treatment,5 Years & Above,Male,0
Gulmi,2069/70,Clinical Malaria,Under 5 Years,Female,0
Gulmi,2069/70,Clinical Malaria,5 Years & Above,Male,5
Gulmi,2069/70,Clinical Malaria,Under 5 Years,Female,4
Gulmi,2069/70,Clinical Malaria,5 Years & Above,Male,9
Gulmi,2069/70,Total Treatment,Under 5 Years,Female,5
Gulmi,2069/70,Total Treatment,5 Years & Above,Male,5
Gulmi,2069/70,Total Treatment,Under 5 Years,Female,20
Gulmi,2069/70,Total Treatment,5 Years & Above,Male,41
Palpa,2069/70,Clinical Malaria,Under 5 Years,Female,0
Palpa,2069/70,Clinical Malaria,5 Years & Above,Male,3
Palpa,2069/70,Clinical Malaria,Under 5 Years,Female,14
Palpa,2069/70,Clinical Malaria,5 Years & Above,Male,22
Palpa,2069/70,Total Treatment,Under 5 Years,Female,0
Palpa,2069/70,Total Treatment,5 Years & Above,Male,3
Palpa,2069/70,Total Treatment,Under 5 Years,Female,16
Palpa,2069/70,Total Treatment,5 Years & Above,Male,25
Nawalparasi,2069/70,Clinical Malaria,Under 5 Years,Female,73
Nawalparasi,2069/70,Clinical Malaria,5 Years & Above,Male,140
Nawalparasi,2069/70,Clinical Malaria,Under 5 Years,Female,1509
Nawalparasi,2069/70,Clinical Malaria,5 Years & Above,Male,1339
Nawalparasi,2069/70,Total Treatment,Under 5 Years,Female,50
Nawalparasi,2069/70,Total Treatment,5 Years & Above,Male,125
Nawalparasi,2069/70,Total Treatment,Under 5 Years,Female,1013
Nawalparasi,2069/70,Total Treatment,5 Years & Above,Male,859
Rupandehi,2069/70,Clinical Malaria,Under 5 Years,Female,0
Rupandehi,2069/70,Clinical Malaria,5 Years & Above,Male,0
Rupandehi,2069/70,Clinical Malaria,Under 5 Years,Female,0
Rupandehi,2069/70,Clinical Malaria,5 Years & Above,Male,0
Rupandehi,2069/70,Total Treatment,Under 5 Years,Female,0
Rupandehi,2069/70,Total Treatment,5 Years & Above,Male,0
Rupandehi,2069/70,Total Treatment,Under 5 Years,Female,0
Rupandehi,2069/70,Total Treatment,5 Years & Above,Male,0
Kapilvastu,2069/70,Clinical Malaria,Under 5 Years,Female,43
Kapilvastu,2069/70,Clinical Malaria,5 Years & Above,Male,54
Kapilvastu,2069/70,Clinical Malaria,Under 5 Years,Female,263
Kapilvastu,2069/70,Clinical Malaria,5 Years & Above,Male,346
Kapilvastu,2069/70,Total Treatment,Under 5 Years,Female,7
Kapilvastu,2069/70,Total Treatment,5 Years & Above,Male,9
Kapilvastu,2069/70,Total Treatment,Under 5 Years,Female,109
Kapilvastu,2069/70,Total Treatment,5 Years & Above,Male,156
Arghakhanchi,2069/70,Clinical Malaria,Under 5 Years,Female,1
Arghakhanchi,2069/70,Clinical Malaria,5 Years & Above,Male,0
Arghakhanchi,2069/70,Clinical Malaria,Under 5 Years,Female,2
Arghakhanchi,2069/70,Clinical Malaria,5 Years & Above,Male,1
Arghakhanchi,2069/70,Total Treatment,Under 5 Years,Female,0
Arghakhanchi,2069/70,Total Treatment,5 Years & Above,Male,0
Arghakhanchi,2069/70,Total Treatment,Under 5 Years,Female,0
Arghakhanchi,2069/70,Total Treatment,5 Years & Above,Male,0
Pyuthan,2069/70,Clinical Malaria,Under 5 Years,Female,0
Pyuthan,2069/70,Clinical Malaria,5 Years & Above,Male,0
Pyuthan,2069/70,Clinical Malaria,Under 5 Years,Female,0
Pyuthan,2069/70,Clinical Malaria,5 Years & Above,Male,1
Pyuthan,2069/70,Total Treatment,Under 5 Years,Female,0
Pyuthan,2069/70,Total Treatment,5 Years & Above,Male,0
Pyuthan,2069/70,Total Treatment,Under 5 Years,Female,5
Pyuthan,2069/70,Total Treatment,5 Years & Above,Male,12
Rolpa,2069/70,Clinical Malaria,Under 5 Years,Female,3
Rolpa,2069/70,Clinical Malaria,5 Years & Above,Male,4
Rolpa,2069/70,Clinical Malaria,Under 5 Years,Female,1
Rolpa,2069/70,Clinical Malaria,5 Years & Above,Male,2
Rolpa,2069/70,Total Treatment,Under 5 Years,Female,3
Rolpa,2069/70,Total Treatment,5 Years & Above,Male,4
Rolpa,2069/70,Total Treatment,Under 5 Years,Female,1
Rolpa,2069/70,Total Treatment,5 Years & Above,Male,2
Rukum,2069/70,Clinical Malaria,Under 5 Years,Female,0
Rukum,2069/70,Clinical Malaria,5 Years & Above,Male,0
Rukum,2069/70,Clinical Malaria,Under 5 Years,Female,0
Rukum,2069/70,Clinical Malaria,5 Years & Above,Male,0
Rukum,2069/70,Total Treatment,Under 5 Years,Female,0
Rukum,2069/70,Total Treatment,5 Years & Above,Male,0
Rukum,2069/70,Total Treatment,Under 5 Years,Female,0
Rukum,2069/70,Total Treatment,5 Years & Above,Male,0
Salyan,2069/70,Clinical Malaria,Under 5 Years,Female,20
Salyan,2069/70,Clinical Malaria,5 Years & Above,Male,27
Salyan,2069/70,Clinical Malaria,Under 5 Years,Female,30
Salyan,2069/70,Clinical Malaria,5 Years & Above,Male,26
Salyan,2069/70,Total Treatment,Under 5 Years,Female,13
Salyan,2069/70,Total Treatment,5 Years & Above,Male,24
Salyan,2069/70,Total Treatment,Under 5 Years,Female,20
Salyan,2069/70,Total Treatment,5 Years & Above,Male,21
Dang,2069/70,Clinical Malaria,Under 5 Years,Female,1212
Dang,2069/70,Clinical Malaria,5 Years & Above,Male,1216
Dang,2069/70,Clinical Malaria,Under 5 Years,Female,694
Dang,2069/70,Clinical Malaria,5 Years & Above,Male,595
Dang,2069/70,Total Treatment,Under 5 Years,Female,455
Dang,2069/70,Total Treatment,5 Years & Above,Male,430
Dang,2069/70,Total Treatment,Under 5 Years,Female,228
Dang,2069/70,Total Treatment,5 Years & Above,Male,221
Banke,2069/70,Clinical Malaria,Under 5 Years,Female,11
Banke,2069/70,Clinical Malaria,5 Years & Above,Male,13
Banke,2069/70,Clinical Malaria,Under 5 Years,Female,206
Banke,2069/70,Clinical Malaria,5 Years & Above,Male,215
Banke,2069/70,Total Treatment,Under 5 Years,Female,11
Banke,2069/70,Total Treatment,5 Years & Above,Male,13
Banke,2069/70,Total Treatment,Under 5 Years,Female,211
Banke,2069/70,Total Treatment,5 Years & Above,Male,259
Bardiya,2069/70,Clinical Malaria,Under 5 Years,Female,1120
Bardiya,2069/70,Clinical Malaria,5 Years & Above,Male,1133
Bardiya,2069/70,Clinical Malaria,Under 5 Years,Female,1063
Bardiya,2069/70,Clinical Malaria,5 Years & Above,Male,979
Bardiya,2069/70,Total Treatment,Under 5 Years,Female,882
Bardiya,2069/70,Total Treatment,5 Years & Above,Male,889
Bardiya,2069/70,Total Treatment,Under 5 Years,Female,936
Bardiya,2069/70,Total Treatment,5 Years & Above,Male,883
Surkhet,2069/70,Clinical Malaria,Under 5 Years,Female,1755
Surkhet,2069/70,Clinical Malaria,5 Years & Above,Male,1667
Surkhet,2069/70,Clinical Malaria,Under 5 Years,Female,859
Surkhet,2069/70,Clinical Malaria,5 Years & Above,Male,920
Surkhet,2069/70,Total Treatment,Under 5 Years,Female,1756
Surkhet,2069/70,Total Treatment,5 Years & Above,Male,1670
Surkhet,2069/70,Total Treatment,Under 5 Years,Female,894
Surkhet,2069/70,Total Treatment,5 Years & Above,Male,988
Dailekh,2069/70,Clinical Malaria,Under 5 Years,Female,0
Dailekh,2069/70,Clinical Malaria,5 Years & Above,Male,0
Dailekh,2069/70,Clinical Malaria,Under 5 Years,Female,5
Dailekh,2069/70,Clinical Malaria,5 Years & Above,Male,11
Dailekh,2069/70,Total Treatment,Under 5 Years,Female,0
Dailekh,2069/70,Total Treatment,5 Years & Above,Male,0
Dailekh,2069/70,Total Treatment,Under 5 Years,Female,7
Dailekh,2069/70,Total Treatment,5 Years & Above,Male,19
Jajarkot,2069/70,Clinical Malaria,Under 5 Years,Female,0
Jajarkot,2069/70,Clinical Malaria,5 Years & Above,Male,0
Jajarkot,2069/70,Clinical Malaria,Under 5 Years,Female,0
Jajarkot,2069/70,Clinical Malaria,5 Years & Above,Male,0
Jajarkot,2069/70,Total Treatment,Under 5 Years,Female,0
Jajarkot,2069/70,Total Treatment,5 Years & Above,Male,0
Jajarkot,2069/70,Total Treatment,Under 5 Years,Female,0
Jajarkot,2069/70,Total Treatment,5 Years & Above,Male,0
Dolpa,2069/70,Clinical Malaria,Under 5 Years,Female,0
Dolpa,2069/70,Clinical Malaria,5 Years & Above,Male,0
Dolpa,2069/70,Clinical Malaria,Under 5 Years,Female,0
Dolpa,2069/70,Clinical Malaria,5 Years & Above,Male,0
Dolpa,2069/70,Total Treatment,Under 5 Years,Female,0
Dolpa,2069/70,Total Treatment,5 Years & Above,Male,0
Dolpa,2069/70,Total Treatment,Under 5 Years,Female,0
Dolpa,2069/70,Total Treatment,5 Years & Above,Male,0
Jumla,2069/70,Clinical Malaria,Under 5 Years,Female,0
Jumla,2069/70,Clinical Malaria,5 Years & Above,Male,0
Jumla,2069/70,Clinical Malaria,Under 5 Years,Female,0
Jumla,2069/70,Clinical Malaria,5 Years & Above,Male,0
Jumla,2069/70,Total Treatment,Under 5 Years,Female,0
Jumla,2069/70,Total Treatment,5 Years & Above,Male,0
Jumla,2069/70,Total Treatment,Under 5 Years,Female,0
Jumla,2069/70,Total Treatment,5 Years & Above,Male,0
Kalikot,2069/70,Clinical Malaria,Under 5 Years,Female,0
Kalikot,2069/70,Clinical Malaria,5 Years & Above,Male,0
Kalikot,2069/70,Clinical Malaria,Under 5 Years,Female,0
Kalikot,2069/70,Clinical Malaria,5 Years & Above,Male,0
Kalikot,2069/70,Total Treatment,Under 5 Years,Female,0
Kalikot,2069/70,Total Treatment,5 Years & Above,Male,0
Kalikot,2069/70,Total Treatment,Under 5 Years,Female,1
Kalikot,2069/70,Total Treatment,5 Years & Above,Male,0
Mugu,2069/70,Clinical Malaria,Under 5 Years,Female,0
Mugu,2069/70,Clinical Malaria,5 Years & Above,Male,0
Mugu,2069/70,Clinical Malaria,Under 5 Years,Female,0
Mugu,2069/70,Clinical Malaria,5 Years & Above,Male,0
Mugu,2069/70,Total Treatment,Under 5 Years,Female,0
Mugu,2069/70,Total Treatment,5 Years & Above,Male,0
Mugu,2069/70,Total Treatment,Under 5 Years,Female,0
Mugu,2069/70,Total Treatment,5 Years & Above,Male,0
Humla,2069/70,Clinical Malaria,Under 5 Years,Female,0
Humla,2069/70,Clinical Malaria,5 Years & Above,Male,0
Humla,2069/70,Clinical Malaria,Under 5 Years,Female,0
Humla,2069/70,Clinical Malaria,5 Years & Above,Male,0
Humla,2069/70,Total Treatment,Under 5 Years,Female,0
Humla,2069/70,Total Treatment,5 Years & Above,Male,0
Humla,2069/70,Total Treatment,Under 5 Years,Female,0
Humla,2069/70,Total Treatment,5 Years & Above,Male,0
Bajura,2069/70,Clinical Malaria,Under 5 Years,Female,0
Bajura,2069/70,Clinical Malaria,5 Years & Above,Male,0
Bajura,2069/70,Clinical Malaria,Under 5 Years,Female,14
Bajura,2069/70,Clinical Malaria,5 Years & Above,Male,22
Bajura,2069/70,Total Treatment,Under 5 Years,Female,0
Bajura,2069/70,Total Treatment,5 Years & Above,Male,0
