District,Year,Gynecological Problem,Number of people
Bajura,2068/69,Pelvic Inflamatory Disease (PID),504
Bajura,2068/69,Leukerrhoea (Veginal discharge syndrom,277
Bajura,2068/69,Menstrual disorder,193
Bajura,2068/69,Disfunctional uterine bleeding,358
Bajura,2068/69,Breast lumps / Breast Abscess,83
Bajura,2068/69,Mastitis (Ingorged breast),23
Bajhang,2068/69,Prolapsed uterus,151
Bajhang,2068/69,Pelvic Inflamatory Disease (PID),688
Bajhang,2068/69,Leukerrhoea (Veginal discharge syndrom,561
Bajhang,2068/69,Menstrual disorder,272
Bajhang,2068/69,Disfunctional uterine bleeding,307
Bajhang,2068/69,Breast lumps / Breast Abscess,128
Bajhang,2068/69,Mastitis (Ingorged breast),72
Achham,2068/69,Prolapsed uterus,171
Achham,2068/69,Pelvic Inflamatory Disease (PID),1048
Achham,2068/69,Leukerrhoea (Veginal discharge syndrom,642
Achham,2068/69,Menstrual disorder,540
Achham,2068/69,Disfunctional uterine bleeding,540
Achham,2068/69,Breast lumps / Breast Abscess,157
Achham,2068/69,Mastitis (Ingorged breast),81
Doti,2068/69,Prolapsed uterus,208
Doti,2068/69,Pelvic Inflamatory Disease (PID),966
Doti,2068/69,Leukerrhoea (Veginal discharge syndrom,425
Doti,2068/69,Menstrual disorder,236
Doti,2068/69,Disfunctional uterine bleeding,212
Doti,2068/69,Breast lumps / Breast Abscess,112
Doti,2068/69,Mastitis (Ingorged breast),44
Kailali,2068/69,Prolapsed uterus,300
Kailali,2068/69,Pelvic Inflamatory Disease (PID),3241
Kailali,2068/69,Leukerrhoea (Veginal discharge syndrom,2419
Kailali,2068/69,Menstrual disorder,1462
Kailali,2068/69,Disfunctional uterine bleeding,1483
Kailali,2068/69,Breast lumps / Breast Abscess,358
Kailali,2068/69,Mastitis (Ingorged breast),118
Kanchanpur,2068/69,Prolapsed uterus,323
Kanchanpur,2068/69,Pelvic Inflamatory Disease (PID),2916
Kanchanpur,2068/69,Leukerrhoea (Veginal discharge syndrom,2862
Kanchanpur,2068/69,Menstrual disorder,866
Kanchanpur,2068/69,Disfunctional uterine bleeding,907
Kanchanpur,2068/69,Breast lumps / Breast Abscess,111
Kanchanpur,2068/69,Mastitis (Ingorged breast),93
Dadeldhura,2068/69,Prolapsed uterus,426
Dadeldhura,2068/69,Pelvic Inflamatory Disease (PID),1842
Dadeldhura,2068/69,Leukerrhoea (Veginal discharge syndrom,1497
Dadeldhura,2068/69,Menstrual disorder,661
Dadeldhura,2068/69,Disfunctional uterine bleeding,333
Dadeldhura,2068/69,Breast lumps / Breast Abscess,151
Dadeldhura,2068/69,Mastitis (Ingorged breast),50
Baitadi,2068/69,Prolapsed uterus,495
Baitadi,2068/69,Pelvic Inflamatory Disease (PID),1646
Baitadi,2068/69,Leukerrhoea (Veginal discharge syndrom,493
Baitadi,2068/69,Menstrual disorder,469
Baitadi,2068/69,Disfunctional uterine bleeding,315
Baitadi,2068/69,Breast lumps / Breast Abscess,132
Baitadi,2068/69,Mastitis (Ingorged breast),41
Darchula,2068/69,Prolapsed uterus,53
Darchula,2068/69,Pelvic Inflamatory Disease (PID),720
Darchula,2068/69,Leukerrhoea (Veginal discharge syndrom,249
Darchula,2068/69,Menstrual disorder,199
Darchula,2068/69,Disfunctional uterine bleeding,230
Darchula,2068/69,Breast lumps / Breast Abscess,41
Darchula,2068/69,Mastitis (Ingorged breast),15
Taplejung,2069/70,Prolapsed uterus,45
Taplejung,2069/70,Pelvic Inflamatory Disease (PID),321
Taplejung,2069/70,Leukerrhoea (Veginal discharge syndrom,150
Taplejung,2069/70,Menstrual disorder,244
Taplejung,2069/70,Disfunctional uterine bleeding,173
Taplejung,2069/70,Breast lumps / Breast Abscess,94
Taplejung,2069/70,Mastitis (Ingorged breast),99
Panchthar,2069/70,Prolapsed uterus,99
Panchthar,2069/70,Pelvic Inflamatory Disease (PID),507
Panchthar,2069/70,Leukerrhoea (Veginal discharge syndrom,108
Panchthar,2069/70,Menstrual disorder,379
Panchthar,2069/70,Disfunctional uterine bleeding,231
Panchthar,2069/70,Breast lumps / Breast Abscess,101
Panchthar,2069/70,Mastitis (Ingorged breast),57
Ilam,2069/70,Prolapsed uterus,83
Ilam,2069/70,Pelvic Inflamatory Disease (PID),499
Ilam,2069/70,Leukerrhoea (Veginal discharge syndrom,369
Ilam,2069/70,Menstrual disorder,549
Ilam,2069/70,Disfunctional uterine bleeding,268
Ilam,2069/70,Breast lumps / Breast Abscess,84
Ilam,2069/70,Mastitis (Ingorged breast),86
Jhapa,2069/70,Prolapsed uterus,285
Jhapa,2069/70,Pelvic Inflamatory Disease (PID),2345
Jhapa,2069/70,Leukerrhoea (Veginal discharge syndrom,2270
Jhapa,2069/70,Menstrual disorder,2162
Jhapa,2069/70,Disfunctional uterine bleeding,1074
Jhapa,2069/70,Breast lumps / Breast Abscess,862
Jhapa,2069/70,Mastitis (Ingorged breast),371
Morang,2069/70,Prolapsed uterus,507
Morang,2069/70,Pelvic Inflamatory Disease (PID),1889
Morang,2069/70,Leukerrhoea (Veginal discharge syndrom,1584
Morang,2069/70,Menstrual disorder,5223
Morang,2069/70,Disfunctional uterine bleeding,1143
Morang,2069/70,Breast lumps / Breast Abscess,685
Morang,2069/70,Mastitis (Ingorged breast),243
Sunsari,2069/70,Prolapsed uterus,56
Sunsari,2069/70,Pelvic Inflamatory Disease (PID),748
Sunsari,2069/70,Leukerrhoea (Veginal discharge syndrom,1257
Sunsari,2069/70,Menstrual disorder,960
Sunsari,2069/70,Disfunctional uterine bleeding,371
Sunsari,2069/70,Breast lumps / Breast Abscess,228
Sunsari,2069/70,Mastitis (Ingorged breast),131
Dhankuta,2069/70,Prolapsed uterus,147
Dhankuta,2069/70,Pelvic Inflamatory Disease (PID),444
Dhankuta,2069/70,Leukerrhoea (Veginal discharge syndrom,237
Dhankuta,2069/70,Menstrual disorder,464
Dhankuta,2069/70,Disfunctional uterine bleeding,225
Dhankuta,2069/70,Breast lumps / Breast Abscess,152
Dhankuta,2069/70,Mastitis (Ingorged breast),67
Teharthum,2069/70,Prolapsed uterus,65
Teharthum,2069/70,Pelvic Inflamatory Disease (PID),413
Teharthum,2069/70,Leukerrhoea (Veginal discharge syndrom,164
Teharthum,2069/70,Menstrual disorder,255
Teharthum,2069/70,Disfunctional uterine bleeding,245
Teharthum,2069/70,Breast lumps / Breast Abscess,66
Teharthum,2069/70,Mastitis (Ingorged breast),22
Sankhuwasabha,2069/70,Prolapsed uterus,43
Sankhuwasabha,2069/70,Pelvic Inflamatory Disease (PID),768
Sankhuwasabha,2069/70,Leukerrhoea (Veginal discharge syndrom,308
Sankhuwasabha,2069/70,Menstrual disorder,506
Sankhuwasabha,2069/70,Disfunctional uterine bleeding,273
Sankhuwasabha,2069/70,Breast lumps / Breast Abscess,171
Sankhuwasabha,2069/70,Mastitis (Ingorged breast),99
Bhojpur,2069/70,Prolapsed uterus,112
Bhojpur,2069/70,Pelvic Inflamatory Disease (PID),362
Bhojpur,2069/70,Leukerrhoea (Veginal discharge syndrom,334
Bhojpur,2069/70,Menstrual disorder,799
Bhojpur,2069/70,Disfunctional uterine bleeding,204
Bhojpur,2069/70,Breast lumps / Breast Abscess,196
Bhojpur,2069/70,Mastitis (Ingorged breast),67
Solukhumbu,2069/70,Prolapsed uterus,119
Solukhumbu,2069/70,Pelvic Inflamatory Disease (PID),438
Solukhumbu,2069/70,Leukerrhoea (Veginal discharge syndrom,358
Solukhumbu,2069/70,Menstrual disorder,547
Solukhumbu,2069/70,Disfunctional uterine bleeding,217
Solukhumbu,2069/70,Breast lumps / Breast Abscess,78
Solukhumbu,2069/70,Mastitis (Ingorged breast),44
Okhaldhunga,2069/70,Prolapsed uterus,152
Okhaldhunga,2069/70,Pelvic Inflamatory Disease (PID),745
Okhaldhunga,2069/70,Leukerrhoea (Veginal discharge syndrom,155
Okhaldhunga,2069/70,Menstrual disorder,662
Okhaldhunga,2069/70,Disfunctional uterine bleeding,243
Okhaldhunga,2069/70,Breast lumps / Breast Abscess,124
Okhaldhunga,2069/70,Mastitis (Ingorged breast),28
Khotang,2069/70,Prolapsed uterus,105
Khotang,2069/70,Pelvic Inflamatory Disease (PID),967
Khotang,2069/70,Leukerrhoea (Veginal discharge syndrom,391
Khotang,2069/70,Menstrual disorder,485
Khotang,2069/70,Disfunctional uterine bleeding,257
Khotang,2069/70,Breast lumps / Breast Abscess,238
Khotang,2069/70,Mastitis (Ingorged breast),95
Udaypur,2069/70,Prolapsed uterus,398
Udaypur,2069/70,Pelvic Inflamatory Disease (PID),2127
Udaypur,2069/70,Leukerrhoea (Veginal discharge syndrom,1361
Udaypur,2069/70,Menstrual disorder,1018
Udaypur,2069/70,Disfunctional uterine bleeding,399
Udaypur,2069/70,Breast lumps / Breast Abscess,394
Udaypur,2069/70,Mastitis (Ingorged breast),145
Saptari,2069/70,Prolapsed uterus,137
Saptari,2069/70,Pelvic Inflamatory Disease (PID),568
Saptari,2069/70,Leukerrhoea (Veginal discharge syndrom,1345
Saptari,2069/70,Menstrual disorder,799
Saptari,2069/70,Disfunctional uterine bleeding,295
Saptari,2069/70,Breast lumps / Breast Abscess,320
Saptari,2069/70,Mastitis (Ingorged breast),122
Siraha,2069/70,Prolapsed uterus,228
Siraha,2069/70,Pelvic Inflamatory Disease (PID),886
Siraha,2069/70,Leukerrhoea (Veginal discharge syndrom,1491
Siraha,2069/70,Menstrual disorder,905
Siraha,2069/70,Disfunctional uterine bleeding,563
Siraha,2069/70,Breast lumps / Breast Abscess,275
Siraha,2069/70,Mastitis (Ingorged breast),100
Dhanusha,2069/70,Prolapsed uterus,18
Dhanusha,2069/70,Pelvic Inflamatory Disease (PID),508
Dhanusha,2069/70,Leukerrhoea (Veginal discharge syndrom,1092
Dhanusha,2069/70,Menstrual disorder,690
Dhanusha,2069/70,Disfunctional uterine bleeding,282
Dhanusha,2069/70,Breast lumps / Breast Abscess,173
Dhanusha,2069/70,Mastitis (Ingorged breast),46
Mahottari,2069/70,Prolapsed uterus,230
Mahottari,2069/70,Pelvic Inflamatory Disease (PID),1042
Mahottari,2069/70,Leukerrhoea (Veginal discharge syndrom,1878
Mahottari,2069/70,Menstrual disorder,1240
Mahottari,2069/70,Disfunctional uterine bleeding,487
Mahottari,2069/70,Breast lumps / Breast Abscess,258
Mahottari,2069/70,Mastitis (Ingorged breast),67
Sarlahi,2069/70,Prolapsed uterus,76
Sarlahi,2069/70,Pelvic Inflamatory Disease (PID),677
Sarlahi,2069/70,Leukerrhoea (Veginal discharge syndrom,1700
Sarlahi,2069/70,Menstrual disorder,1137
Sarlahi,2069/70,Disfunctional uterine bleeding,326
Sarlahi,2069/70,Breast lumps / Breast Abscess,269
Sarlahi,2069/70,Mastitis (Ingorged breast),83
Sindhuli,2069/70,Prolapsed uterus,36
Sindhuli,2069/70,Pelvic Inflamatory Disease (PID),376
Sindhuli,2069/70,Leukerrhoea (Veginal discharge syndrom,453
Sindhuli,2069/70,Menstrual disorder,407
Sindhuli,2069/70,Disfunctional uterine bleeding,179
Sindhuli,2069/70,Breast lumps / Breast Abscess,119
Sindhuli,2069/70,Mastitis (Ingorged breast),56
Ramechhap,2069/70,Prolapsed uterus,683
Ramechhap,2069/70,Pelvic Inflamatory Disease (PID),1287
Ramechhap,2069/70,Leukerrhoea (Veginal discharge syndrom,554
Ramechhap,2069/70,Menstrual disorder,1432
Ramechhap,2069/70,Disfunctional uterine bleeding,454
Ramechhap,2069/70,Breast lumps / Breast Abscess,187
Ramechhap,2069/70,Mastitis (Ingorged breast),131
Dolkha,2069/70,Prolapsed uterus,212
Dolkha,2069/70,Pelvic Inflamatory Disease (PID),1727
Dolkha,2069/70,Leukerrhoea (Veginal discharge syndrom,389
Dolkha,2069/70,Menstrual disorder,819
Dolkha,2069/70,Disfunctional uterine bleeding,195
Dolkha,2069/70,Breast lumps / Breast Abscess,126
Dolkha,2069/70,Mastitis (Ingorged breast),68
Sindhupalchowk,2069/70,Prolapsed uterus,331
Sindhupalchowk,2069/70,Pelvic Inflamatory Disease (PID),1356
Sindhupalchowk,2069/70,Leukerrhoea (Veginal discharge syndrom,786
Sindhupalchowk,2069/70,Menstrual disorder,659
Sindhupalchowk,2069/70,Disfunctional uterine bleeding,483
Sindhupalchowk,2069/70,Breast lumps / Breast Abscess,226
Sindhupalchowk,2069/70,Mastitis (Ingorged breast),78
Kavre,2069/70,Prolapsed uterus,994
Kavre,2069/70,Pelvic Inflamatory Disease (PID),2533
Kavre,2069/70,Leukerrhoea (Veginal discharge syndrom,959
Kavre,2069/70,Menstrual disorder,1773
Kavre,2069/70,Disfunctional uterine bleeding,848
Kavre,2069/70,Breast lumps / Breast Abscess,411
Kavre,2069/70,Mastitis (Ingorged breast),168
Lalitpur,2069/70,Prolapsed uterus,0
Lalitpur,2069/70,Pelvic Inflamatory Disease (PID),0
Lalitpur,2069/70,Leukerrhoea (Veginal discharge syndrom,0
Lalitpur,2069/70,Menstrual disorder,0
Lalitpur,2069/70,Disfunctional uterine bleeding,0
Lalitpur,2069/70,Breast lumps / Breast Abscess,0
Lalitpur,2069/70,Mastitis (Ingorged breast),0
Bhaktapur,2069/70,Prolapsed uterus,100
Bhaktapur,2069/70,Pelvic Inflamatory Disease (PID),937
Bhaktapur,2069/70,Leukerrhoea (Veginal discharge syndrom,1147
Bhaktapur,2069/70,Menstrual disorder,758
Bhaktapur,2069/70,Disfunctional uterine bleeding,243
Bhaktapur,2069/70,Breast lumps / Breast Abscess,226
Bhaktapur,2069/70,Mastitis (Ingorged breast),116
Kathmandu,2069/70,Prolapsed uterus,2169
Kathmandu,2069/70,Pelvic Inflamatory Disease (PID),6465
Kathmandu,2069/70,Leukerrhoea (Veginal discharge syndrom,4421
Kathmandu,2069/70,Menstrual disorder,5233
Kathmandu,2069/70,Disfunctional uterine bleeding,2829
Kathmandu,2069/70,Breast lumps / Breast Abscess,1345
Kathmandu,2069/70,Mastitis (Ingorged breast),868
Nuwakot,2069/70,Prolapsed uterus,451
Nuwakot,2069/70,Pelvic Inflamatory Disease (PID),1139
Nuwakot,2069/70,Leukerrhoea (Veginal discharge syndrom,804
Nuwakot,2069/70,Menstrual disorder,495
Nuwakot,2069/70,Disfunctional uterine bleeding,341
Nuwakot,2069/70,Breast lumps / Breast Abscess,183
Nuwakot,2069/70,Mastitis (Ingorged breast),100
Rasuwa,2069/70,Prolapsed uterus,7
Rasuwa,2069/70,Pelvic Inflamatory Disease (PID),253
Rasuwa,2069/70,Leukerrhoea (Veginal discharge syndrom,55
Rasuwa,2069/70,Menstrual disorder,127
Rasuwa,2069/70,Disfunctional uterine bleeding,57
Rasuwa,2069/70,Breast lumps / Breast Abscess,42
Rasuwa,2069/70,Mastitis (Ingorged breast),18
Dhading,2069/70,Prolapsed uterus,822
Dhading,2069/70,Pelvic Inflamatory Disease (PID),2816
Dhading,2069/70,Leukerrhoea (Veginal discharge syndrom,2173
Dhading,2069/70,Menstrual disorder,1327
Dhading,2069/70,Disfunctional uterine bleeding,1009
Dhading,2069/70,Breast lumps / Breast Abscess,514
Dhading,2069/70,Mastitis (Ingorged breast),233
Makawanpur,2069/70,Prolapsed uterus,61
Makawanpur,2069/70,Pelvic Inflamatory Disease (PID),1000
Makawanpur,2069/70,Leukerrhoea (Veginal discharge syndrom,809
Makawanpur,2069/70,Menstrual disorder,461
Makawanpur,2069/70,Disfunctional uterine bleeding,465
Makawanpur,2069/70,Breast lumps / Breast Abscess,197
Makawanpur,2069/70,Mastitis (Ingorged breast),112
Rautahat,2069/70,Prolapsed uterus,283
Rautahat,2069/70,Pelvic Inflamatory Disease (PID),1882
Rautahat,2069/70,Leukerrhoea (Veginal discharge syndrom,2456
Rautahat,2069/70,Menstrual disorder,1667
Rautahat,2069/70,Disfunctional uterine bleeding,542
Rautahat,2069/70,Breast lumps / Breast Abscess,421
Rautahat,2069/70,Mastitis (Ingorged breast),120
Bara,2069/70,Prolapsed uterus,82
Bara,2069/70,Pelvic Inflamatory Disease (PID),837
Bara,2069/70,Leukerrhoea (Veginal discharge syndrom,1376
Bara,2069/70,Menstrual disorder,753
Bara,2069/70,Disfunctional uterine bleeding,202
Bara,2069/70,Breast lumps / Breast Abscess,223
Bara,2069/70,Mastitis (Ingorged breast),57
Parsa,2069/70,Prolapsed uterus,0
Parsa,2069/70,Pelvic Inflamatory Disease (PID),0
Parsa,2069/70,Leukerrhoea (Veginal discharge syndrom,0
Parsa,2069/70,Menstrual disorder,0
Parsa,2069/70,Disfunctional uterine bleeding,0
Parsa,2069/70,Breast lumps / Breast Abscess,0
Parsa,2069/70,Mastitis (Ingorged breast),0
Chitwan,2069/70,Prolapsed uterus,796
Chitwan,2069/70,Pelvic Inflamatory Disease (PID),21861
Chitwan,2069/70,Leukerrhoea (Veginal discharge syndrom,2481
Chitwan,2069/70,Menstrual disorder,1906
Chitwan,2069/70,Disfunctional uterine bleeding,1419
Chitwan,2069/70,Breast lumps / Breast Abscess,1473
Chitwan,2069/70,Mastitis (Ingorged breast),238
Gorkha,2069/70,Prolapsed uterus,509
Gorkha,2069/70,Pelvic Inflamatory Disease (PID),3131
Gorkha,2069/70,Leukerrhoea (Veginal discharge syndrom,1437
Gorkha,2069/70,Menstrual disorder,930
Gorkha,2069/70,Disfunctional uterine bleeding,637
Gorkha,2069/70,Breast lumps / Breast Abscess,400
Gorkha,2069/70,Mastitis (Ingorged breast),401
Lamjung,2069/70,Prolapsed uterus,175
Lamjung,2069/70,Pelvic Inflamatory Disease (PID),1498
Lamjung,2069/70,Leukerrhoea (Veginal discharge syndrom,1272
Lamjung,2069/70,Menstrual disorder,498
Lamjung,2069/70,Disfunctional uterine bleeding,264
Lamjung,2069/70,Breast lumps / Breast Abscess,175
Lamjung,2069/70,Mastitis (Ingorged breast),80
Tanahu,2069/70,Prolapsed uterus,410
Tanahu,2069/70,Pelvic Inflamatory Disease (PID),2136
Tanahu,2069/70,Leukerrhoea (Veginal discharge syndrom,1545
Tanahu,2069/70,Menstrual disorder,868
Tanahu,2069/70,Disfunctional uterine bleeding,312
Tanahu,2069/70,Breast lumps / Breast Abscess,208
Tanahu,2069/70,Mastitis (Ingorged breast),98
Syangja,2069/70,Prolapsed uterus,260
Syangja,2069/70,Pelvic Inflamatory Disease (PID),1497
Syangja,2069/70,Leukerrhoea (Veginal discharge syndrom,1387
Syangja,2069/70,Menstrual disorder,539
Syangja,2069/70,Disfunctional uterine bleeding,144
Syangja,2069/70,Breast lumps / Breast Abscess,190
Syangja,2069/70,Mastitis (Ingorged breast),160
Kaski,2069/70,Prolapsed uterus,995
Kaski,2069/70,Pelvic Inflamatory Disease (PID),4640
Kaski,2069/70,Leukerrhoea (Veginal discharge syndrom,4353
Kaski,2069/70,Menstrual disorder,2933
Kaski,2069/70,Disfunctional uterine bleeding,1812
Kaski,2069/70,Breast lumps / Breast Abscess,1049
Kaski,2069/70,Mastitis (Ingorged breast),126
Manang,2069/70,Prolapsed uterus,0
Manang,2069/70,Pelvic Inflamatory Disease (PID),34
Manang,2069/70,Leukerrhoea (Veginal discharge syndrom,40
Manang,2069/70,Menstrual disorder,11
Manang,2069/70,Disfunctional uterine bleeding,2
Manang,2069/70,Breast lumps / Breast Abscess,3
Manang,2069/70,Mastitis (Ingorged breast),0
Mustang,2069/70,Prolapsed uterus,4
Mustang,2069/70,Pelvic Inflamatory Disease (PID),83
Mustang,2069/70,Leukerrhoea (Veginal discharge syndrom,41
Mustang,2069/70,Menstrual disorder,33
Mustang,2069/70,Disfunctional uterine bleeding,11
Mustang,2069/70,Breast lumps / Breast Abscess,14
Mustang,2069/70,Mastitis (Ingorged breast),8
Myagdi,2069/70,Prolapsed uterus,35
Myagdi,2069/70,Pelvic Inflamatory Disease (PID),498
Myagdi,2069/70,Leukerrhoea (Veginal discharge syndrom,433
Myagdi,2069/70,Menstrual disorder,713
Myagdi,2069/70,Disfunctional uterine bleeding,163
Myagdi,2069/70,Breast lumps / Breast Abscess,105
Myagdi,2069/70,Mastitis (Ingorged breast),86
Parbat,2069/70,Prolapsed uterus,104
Parbat,2069/70,Pelvic Inflamatory Disease (PID),1103
Parbat,2069/70,Leukerrhoea (Veginal discharge syndrom,524
Parbat,2069/70,Menstrual disorder,313
Parbat,2069/70,Disfunctional uterine bleeding,173
Parbat,2069/70,Breast lumps / Breast Abscess,90
Parbat,2069/70,Mastitis (Ingorged breast),63
Baglung,2069/70,Prolapsed uterus,336
Baglung,2069/70,Pelvic Inflamatory Disease (PID),1590
Baglung,2069/70,Leukerrhoea (Veginal discharge syndrom,1043
Baglung,2069/70,Menstrual disorder,687
Baglung,2069/70,Disfunctional uterine bleeding,304
Baglung,2069/70,Breast lumps / Breast Abscess,137
Baglung,2069/70,Mastitis (Ingorged breast),128
Gulmi,2069/70,Prolapsed uterus,129
Gulmi,2069/70,Pelvic Inflamatory Disease (PID),544
Gulmi,2069/70,Leukerrhoea (Veginal discharge syndrom,383
Gulmi,2069/70,Menstrual disorder,173
Gulmi,2069/70,Disfunctional uterine bleeding,88
Gulmi,2069/70,Breast lumps / Breast Abscess,53
Gulmi,2069/70,Mastitis (Ingorged breast),31
Palpa,2069/70,Prolapsed uterus,494
Palpa,2069/70,Pelvic Inflamatory Disease (PID),3776
Palpa,2069/70,Leukerrhoea (Veginal discharge syndrom,1514
Palpa,2069/70,Menstrual disorder,979
Palpa,2069/70,Disfunctional uterine bleeding,771
Palpa,2069/70,Breast lumps / Breast Abscess,349
Palpa,2069/70,Mastitis (Ingorged breast),194
Nawalparasi,2069/70,Prolapsed uterus,124
Nawalparasi,2069/70,Pelvic Inflamatory Disease (PID),1778
Nawalparasi,2069/70,Leukerrhoea (Veginal discharge syndrom,3878
Nawalparasi,2069/70,Menstrual disorder,1585
Nawalparasi,2069/70,Disfunctional uterine bleeding,662
Nawalparasi,2069/70,Breast lumps / Breast Abscess,212
Nawalparasi,2069/70,Mastitis (Ingorged breast),82
Rupandehi,2069/70,Prolapsed uterus,0
Rupandehi,2069/70,Pelvic Inflamatory Disease (PID),0
Rupandehi,2069/70,Leukerrhoea (Veginal discharge syndrom,0
Rupandehi,2069/70,Menstrual disorder,0
Rupandehi,2069/70,Disfunctional uterine bleeding,0
Rupandehi,2069/70,Breast lumps / Breast Abscess,0
Rupandehi,2069/70,Mastitis (Ingorged breast),0
Kapilvastu,2069/70,Prolapsed uterus,131
Kapilvastu,2069/70,Pelvic Inflamatory Disease (PID),1846
Kapilvastu,2069/70,Leukerrhoea (Veginal discharge syndrom,3202
Kapilvastu,2069/70,Menstrual disorder,1568
Kapilvastu,2069/70,Disfunctional uterine bleeding,582
Kapilvastu,2069/70,Breast lumps / Breast Abscess,209
Kapilvastu,2069/70,Mastitis (Ingorged breast),146
Arghakhanchi,2069/70,Prolapsed uterus,70
Arghakhanchi,2069/70,Pelvic Inflamatory Disease (PID),1682
Arghakhanchi,2069/70,Leukerrhoea (Veginal discharge syndrom,816
Arghakhanchi,2069/70,Menstrual disorder,276
Arghakhanchi,2069/70,Disfunctional uterine bleeding,229
Arghakhanchi,2069/70,Breast lumps / Breast Abscess,117
Arghakhanchi,2069/70,Mastitis (Ingorged breast),79
Pyuthan,2069/70,Prolapsed uterus,234
Pyuthan,2069/70,Pelvic Inflamatory Disease (PID),1722
Pyuthan,2069/70,Leukerrhoea (Veginal discharge syndrom,932
Pyuthan,2069/70,Menstrual disorder,286
Pyuthan,2069/70,Disfunctional uterine bleeding,295
Pyuthan,2069/70,Breast lumps / Breast Abscess,281
Pyuthan,2069/70,Mastitis (Ingorged breast),49
Rolpa,2069/70,Prolapsed uterus,118
Rolpa,2069/70,Pelvic Inflamatory Disease (PID),946
Rolpa,2069/70,Leukerrhoea (Veginal discharge syndrom,517
Rolpa,2069/70,Menstrual disorder,483
Rolpa,2069/70,Disfunctional uterine bleeding,331
Rolpa,2069/70,Breast lumps / Breast Abscess,180
Rolpa,2069/70,Mastitis (Ingorged breast),105
Rukum,2069/70,Prolapsed uterus,314
Rukum,2069/70,Pelvic Inflamatory Disease (PID),1376
Rukum,2069/70,Leukerrhoea (Veginal discharge syndrom,879
Rukum,2069/70,Menstrual disorder,619
Rukum,2069/70,Disfunctional uterine bleeding,305
Rukum,2069/70,Breast lumps / Breast Abscess,86
Rukum,2069/70,Mastitis (Ingorged breast),80
Salyan,2069/70,Prolapsed uterus,363
Salyan,2069/70,Pelvic Inflamatory Disease (PID),1659
Salyan,2069/70,Leukerrhoea (Veginal discharge syndrom,1183
Salyan,2069/70,Menstrual disorder,581
Salyan,2069/70,Disfunctional uterine bleeding,453
Salyan,2069/70,Breast lumps / Breast Abscess,143
Salyan,2069/70,Mastitis (Ingorged breast),86
Dang,2069/70,Prolapsed uterus,378
Dang,2069/70,Pelvic Inflamatory Disease (PID),2862
Dang,2069/70,Leukerrhoea (Veginal discharge syndrom,2341
Dang,2069/70,Menstrual disorder,1164
Dang,2069/70,Disfunctional uterine bleeding,874
Dang,2069/70,Breast lumps / Breast Abscess,443
Dang,2069/70,Mastitis (Ingorged breast),212
Banke,2069/70,Prolapsed uterus,94
Banke,2069/70,Pelvic Inflamatory Disease (PID),877
Banke,2069/70,Leukerrhoea (Veginal discharge syndrom,1719
Banke,2069/70,Menstrual disorder,440
Banke,2069/70,Disfunctional uterine bleeding,532
Banke,2069/70,Breast lumps / Breast Abscess,121
Banke,2069/70,Mastitis (Ingorged breast),42
Bardiya,2069/70,Prolapsed uterus,206
Bardiya,2069/70,Pelvic Inflamatory Disease (PID),2309
Bardiya,2069/70,Leukerrhoea (Veginal discharge syndrom,3933
Bardiya,2069/70,Menstrual disorder,1381
Bardiya,2069/70,Disfunctional uterine bleeding,863
Bardiya,2069/70,Breast lumps / Breast Abscess,309
Bardiya,2069/70,Mastitis (Ingorged breast),171
Surkhet,2069/70,Prolapsed uterus,334
Surkhet,2069/70,Pelvic Inflamatory Disease (PID),2973
Surkhet,2069/70,Leukerrhoea (Veginal discharge syndrom,1697
Surkhet,2069/70,Menstrual disorder,636
Surkhet,2069/70,Disfunctional uterine bleeding,536
Surkhet,2069/70,Breast lumps / Breast Abscess,235
Surkhet,2069/70,Mastitis (Ingorged breast),83
Dailekh,2069/70,Prolapsed uterus,143
Dailekh,2069/70,Pelvic Inflamatory Disease (PID),1494
Dailekh,2069/70,Leukerrhoea (Veginal discharge syndrom,712
Dailekh,2069/70,Menstrual disorder,299
Dailekh,2069/70,Disfunctional uterine bleeding,496
Dailekh,2069/70,Breast lumps / Breast Abscess,144
Dailekh,2069/70,Mastitis (Ingorged breast),24
Jajarkot,2069/70,Prolapsed uterus,499
Jajarkot,2069/70,Pelvic Inflamatory Disease (PID),1296
Jajarkot,2069/70,Leukerrhoea (Veginal discharge syndrom,683
Jajarkot,2069/70,Menstrual disorder,399
Jajarkot,2069/70,Disfunctional uterine bleeding,182
Jajarkot,2069/70,Breast lumps / Breast Abscess,103
Jajarkot,2069/70,Mastitis (Ingorged breast),76
Dolpa,2069/70,Prolapsed uterus,2
Dolpa,2069/70,Pelvic Inflamatory Disease (PID),338
Dolpa,2069/70,Leukerrhoea (Veginal discharge syndrom,148
Dolpa,2069/70,Menstrual disorder,59
Dolpa,2069/70,Disfunctional uterine bleeding,8
Dolpa,2069/70,Breast lumps / Breast Abscess,29
Dolpa,2069/70,Mastitis (Ingorged breast),14
Jumla,2069/70,Prolapsed uterus,17
Jumla,2069/70,Pelvic Inflamatory Disease (PID),591
Jumla,2069/70,Leukerrhoea (Veginal discharge syndrom,217
Jumla,2069/70,Menstrual disorder,48
Jumla,2069/70,Disfunctional uterine bleeding,35
Jumla,2069/70,Breast lumps / Breast Abscess,57
Jumla,2069/70,Mastitis (Ingorged breast),19
Kalikot,2069/70,Prolapsed uterus,116
