District,Year,Mental problem,Number of patients
Rolpa,2069/70,"Conversive disorder
(Hysteria)",5
Rolpa,2069/70,Alcoholism,37
Rolpa,2069/70,Epilesy,38
Rukum,2069/70,Depression,119
Rukum,2069/70,Psychosis,20
Rukum,2069/70,Anxiety (Neurosis,345
Rukum,2069/70,Mental retardation,5
Rukum,2069/70,"Conversive disorder
(Hysteria)",34
Rukum,2069/70,Alcoholism,59
Rukum,2069/70,Epilesy,61
Salyan,2069/70,Depression,117
Salyan,2069/70,Psychosis,20
Salyan,2069/70,Anxiety (Neurosis,341
Salyan,2069/70,Mental retardation,4
Salyan,2069/70,"Conversive disorder
(Hysteria)",15
Salyan,2069/70,Alcoholism,67
Salyan,2069/70,Epilesy,27
Dang,2069/70,Depression,764
Dang,2069/70,Psychosis,108
Dang,2069/70,Anxiety (Neurosis,728
Dang,2069/70,Mental retardation,62
Dang,2069/70,"Conversive disorder
(Hysteria)",194
Dang,2069/70,Alcoholism,507
Dang,2069/70,Epilesy,196
Banke,2069/70,Depression,41
Banke,2069/70,Psychosis,6
Banke,2069/70,Anxiety (Neurosis,48
Banke,2069/70,Mental retardation,26
Banke,2069/70,"Conversive disorder
(Hysteria)",0
Banke,2069/70,Alcoholism,32
Banke,2069/70,Epilesy,61
Bardiya,2069/70,Depression,129
Bardiya,2069/70,Psychosis,23
Bardiya,2069/70,Anxiety (Neurosis,102
Bardiya,2069/70,Mental retardation,18
Bardiya,2069/70,"Conversive disorder
(Hysteria)",54
Bardiya,2069/70,Alcoholism,39
Bardiya,2069/70,Epilesy,121
Surkhet,2069/70,Depression,165
Surkhet,2069/70,Psychosis,19
Surkhet,2069/70,Anxiety (Neurosis,155
Surkhet,2069/70,Mental retardation,7
Surkhet,2069/70,"Conversive disorder
(Hysteria)",27
Surkhet,2069/70,Alcoholism,33
Surkhet,2069/70,Epilesy,72
Dailekh,2069/70,Depression,81
Dailekh,2069/70,Psychosis,14
Dailekh,2069/70,Anxiety (Neurosis,104
Dailekh,2069/70,Mental retardation,19
Dailekh,2069/70,"Conversive disorder
(Hysteria)",37
Dailekh,2069/70,Alcoholism,30
Dailekh,2069/70,Epilesy,22
Jajarkot,2069/70,Depression,52
Jajarkot,2069/70,Psychosis,4
Jajarkot,2069/70,Anxiety (Neurosis,98
Jajarkot,2069/70,Mental retardation,12
Jajarkot,2069/70,"Conversive disorder
(Hysteria)",33
Jajarkot,2069/70,Alcoholism,53
Jajarkot,2069/70,Epilesy,5
Dolpa,2069/70,Depression,0
Dolpa,2069/70,Psychosis,1
Dolpa,2069/70,Anxiety (Neurosis,1
Dolpa,2069/70,Mental retardation,0
Dolpa,2069/70,"Conversive disorder
(Hysteria)",20
Dolpa,2069/70,Alcoholism,90
Dolpa,2069/70,Epilesy,0
Jumla,2069/70,Depression,12
Jumla,2069/70,Psychosis,0
Jumla,2069/70,Anxiety (Neurosis,4
Jumla,2069/70,Mental retardation,2
Jumla,2069/70,"Conversive disorder
(Hysteria)",0
Jumla,2069/70,Alcoholism,4
Jumla,2069/70,Epilesy,2
Kalikot,2069/70,Depression,8
Kalikot,2069/70,Psychosis,28
Kalikot,2069/70,Anxiety (Neurosis,54
Kalikot,2069/70,Mental retardation,5
Kalikot,2069/70,"Conversive disorder
(Hysteria)",18
Kalikot,2069/70,Alcoholism,10
Kalikot,2069/70,Epilesy,5
Mugu,2069/70,Depression,15
Mugu,2069/70,Psychosis,1
Mugu,2069/70,Anxiety (Neurosis,14
Mugu,2069/70,Mental retardation,14
Mugu,2069/70,"Conversive disorder
(Hysteria)",1
Mugu,2069/70,Alcoholism,2
Mugu,2069/70,Epilesy,6
Humla,2069/70,Depression,31
Humla,2069/70,Psychosis,0
Humla,2069/70,Anxiety (Neurosis,13
Humla,2069/70,Mental retardation,1
Humla,2069/70,"Conversive disorder
(Hysteria)",1
Humla,2069/70,Alcoholism,18
Humla,2069/70,Epilesy,5
Bajura,2069/70,Depression,54
Bajura,2069/70,Psychosis,6
Bajura,2069/70,Anxiety (Neurosis,8
Bajura,2069/70,Mental retardation,1
Bajura,2069/70,"Conversive disorder
(Hysteria)",7
Bajura,2069/70,Alcoholism,6
Bajura,2069/70,Epilesy,25
Bajhang,2069/70,Depression,362
Bajhang,2069/70,Psychosis,50
Bajhang,2069/70,Anxiety (Neurosis,402
Bajhang,2069/70,Mental retardation,13
Bajhang,2069/70,"Conversive disorder
(Hysteria)",47
Bajhang,2069/70,Alcoholism,35
Bajhang,2069/70,Epilesy,138
Achham,2069/70,Depression,481
Achham,2069/70,Psychosis,152
Achham,2069/70,Anxiety (Neurosis,586
Achham,2069/70,Mental retardation,17
Achham,2069/70,"Conversive disorder
(Hysteria)",65
Achham,2069/70,Alcoholism,55
Achham,2069/70,Epilesy,383
Doti,2069/70,Depression,62
Doti,2069/70,Psychosis,15
Doti,2069/70,Anxiety (Neurosis,112
Doti,2069/70,Mental retardation,11
Doti,2069/70,"Conversive disorder
(Hysteria)",26
Doti,2069/70,Alcoholism,41
Doti,2069/70,Epilesy,14
Kailali,2069/70,Depression,1271
Kailali,2069/70,Psychosis,33
Kailali,2069/70,Anxiety (Neurosis,497
Kailali,2069/70,Mental retardation,113
Kailali,2069/70,"Conversive disorder
(Hysteria)",306
Kailali,2069/70,Alcoholism,449
Kailali,2069/70,Epilesy,564
Kanchanpur,2069/70,Depression,140
Kanchanpur,2069/70,Psychosis,5
Kanchanpur,2069/70,Anxiety (Neurosis,95
Kanchanpur,2069/70,Mental retardation,6
Kanchanpur,2069/70,"Conversive disorder
(Hysteria)",143
Kanchanpur,2069/70,Alcoholism,45
Kanchanpur,2069/70,Epilesy,23
Dadeldhura,2069/70,Depression,354
Dadeldhura,2069/70,Psychosis,66
Dadeldhura,2069/70,Anxiety (Neurosis,543
Dadeldhura,2069/70,Mental retardation,15
Dadeldhura,2069/70,"Conversive disorder
(Hysteria)",103
Dadeldhura,2069/70,Alcoholism,51
Dadeldhura,2069/70,Epilesy,167
Baitadi,2069/70,Depression,51
Baitadi,2069/70,Psychosis,9
Baitadi,2069/70,Anxiety (Neurosis,72
Baitadi,2069/70,Mental retardation,18
Baitadi,2069/70,"Conversive disorder
(Hysteria)",4
Baitadi,2069/70,Alcoholism,8
Baitadi,2069/70,Epilesy,3
Darchula,2069/70,Depression,8
Darchula,2069/70,Psychosis,2
Darchula,2069/70,Anxiety (Neurosis,14
Darchula,2069/70,Mental retardation,0
Darchula,2069/70,"Conversive disorder
(Hysteria)",0
Darchula,2069/70,Alcoholism,0
Darchula,2069/70,Epilesy,2
