District,Year,Nutritional deficines,Number of people
Jumla,2068/69,Dehydration,244
Jumla,2068/69,Night blindness,169
Kalikot,2068/69,Malnutrition,333
Kalikot,2068/69,Avitaminoses and othernnutrideficency,660
Kalikot,2068/69,Polyneuritis,216
Kalikot,2068/69,Anaemia,766
Kalikot,2068/69,"Goitre,Cretinism",32
Kalikot,2068/69,Diabetic mellitis,2
Kalikot,2068/69,Obesity,6
Kalikot,2068/69,Dehydration,510
Kalikot,2068/69,Night blindness,153
Mugu,2068/69,Malnutrition,363
Mugu,2068/69,Avitaminoses and othernnutrideficency,481
Mugu,2068/69,Polyneuritis,84
Mugu,2068/69,Anaemia,202
Mugu,2068/69,"Goitre,Cretinism",2
Mugu,2068/69,Diabetic mellitis,1
Mugu,2068/69,Obesity,0
Mugu,2068/69,Dehydration,293
Mugu,2068/69,Night blindness,81
Humla,2068/69,Malnutrition,494
Humla,2068/69,Avitaminoses and othernnutrideficency,336
Humla,2068/69,Polyneuritis,60
Humla,2068/69,Anaemia,472
Humla,2068/69,"Goitre,Cretinism",44
Humla,2068/69,Diabetic mellitis,3
Humla,2068/69,Obesity,24
Humla,2068/69,Dehydration,693
Humla,2068/69,Night blindness,108
Bajura,2068/69,Malnutrition,553
Bajura,2068/69,Avitaminoses and othernnutrideficency,1132
Bajura,2068/69,Polyneuritis,373
Bajura,2068/69,Anaemia,747
Bajura,2068/69,"Goitre,Cretinism",34
Bajura,2068/69,Diabetic mellitis,0
Bajura,2068/69,Obesity,2
Bajura,2068/69,Dehydration,1139
Bajura,2068/69,Night blindness,98
Bajhang,2068/69,Malnutrition,326
Bajhang,2068/69,Avitaminoses and othernnutrideficency,507
Bajhang,2068/69,Polyneuritis,582
Bajhang,2068/69,Anaemia,619
Bajhang,2068/69,"Goitre,Cretinism",16
Bajhang,2068/69,Diabetic mellitis,12
Bajhang,2068/69,Obesity,36
Bajhang,2068/69,Dehydration,1253
Bajhang,2068/69,Night blindness,262
Achham,2068/69,Malnutrition,973
Achham,2068/69,Avitaminoses and othernnutrideficency,1912
Achham,2068/69,Polyneuritis,804
Achham,2068/69,Anaemia,1449
Achham,2068/69,"Goitre,Cretinism",42
Achham,2068/69,Diabetic mellitis,211
Achham,2068/69,Obesity,7
Achham,2068/69,Dehydration,1794
Achham,2068/69,Night blindness,135
Doti,2068/69,Malnutrition,282
Doti,2068/69,Avitaminoses and othernnutrideficency,1253
Doti,2068/69,Polyneuritis,494
Doti,2068/69,Anaemia,1310
Doti,2068/69,"Goitre,Cretinism",31
Doti,2068/69,Diabetic mellitis,121
Doti,2068/69,Obesity,19
Doti,2068/69,Dehydration,1367
Doti,2068/69,Night blindness,105
Kailali,2068/69,Malnutrition,717
Kailali,2068/69,Avitaminoses and othernnutrideficency,3906
Kailali,2068/69,Polyneuritis,1859
Kailali,2068/69,Anaemia,4010
Kailali,2068/69,"Goitre,Cretinism",85
Kailali,2068/69,Diabetic mellitis,711
Kailali,2068/69,Obesity,101
Kailali,2068/69,Dehydration,1694
Kailali,2068/69,Night blindness,108
Kanchanpur,2068/69,Malnutrition,1195
Kanchanpur,2068/69,Avitaminoses and othernnutrideficency,2859
Kanchanpur,2068/69,Polyneuritis,463
Kanchanpur,2068/69,Anaemia,2171
Kanchanpur,2068/69,"Goitre,Cretinism",0
Kanchanpur,2068/69,Diabetic mellitis,124
Kanchanpur,2068/69,Obesity,38
Kanchanpur,2068/69,Dehydration,1028
Kanchanpur,2068/69,Night blindness,53
Dadeldhura,2068/69,Malnutrition,125
Dadeldhura,2068/69,Avitaminoses and othernnutrideficency,1144
Dadeldhura,2068/69,Polyneuritis,587
Dadeldhura,2068/69,Anaemia,662
Dadeldhura,2068/69,"Goitre,Cretinism",43
Dadeldhura,2068/69,Diabetic mellitis,523
Dadeldhura,2068/69,Obesity,33
Dadeldhura,2068/69,Dehydration,603
Dadeldhura,2068/69,Night blindness,50
Baitadi,2068/69,Malnutrition,233
Baitadi,2068/69,Avitaminoses and othernnutrideficency,760
Baitadi,2068/69,Polyneuritis,523
Baitadi,2068/69,Anaemia,1347
Baitadi,2068/69,"Goitre,Cretinism",85
Baitadi,2068/69,Diabetic mellitis,96
Baitadi,2068/69,Obesity,39
Baitadi,2068/69,Dehydration,1288
Baitadi,2068/69,Night blindness,176
Darchula,2068/69,Malnutrition,92
Darchula,2068/69,Avitaminoses and othernnutrideficency,664
Darchula,2068/69,Polyneuritis,258
Darchula,2068/69,Anaemia,498
Darchula,2068/69,"Goitre,Cretinism",3
Darchula,2068/69,Diabetic mellitis,14
Darchula,2068/69,Obesity,20
Darchula,2068/69,Dehydration,237
Darchula,2068/69,Night blindness,133
Taplejung,2069/70,Malnutrition,104
Taplejung,2069/70,Avitaminoses and othernnutrideficency,510
Taplejung,2069/70,Polyneuritis,252
Taplejung,2069/70,Anaemia,387
Taplejung,2069/70,"Goitre,Cretinism",40
Taplejung,2069/70,Diabetic mellitis,94
Taplejung,2069/70,Obesity,9
Taplejung,2069/70,Dehydration,259
Taplejung,2069/70,Night blindness,70
Panchthar,2069/70,Malnutrition,46
Panchthar,2069/70,Avitaminoses and othernnutrideficency,828
Panchthar,2069/70,Polyneuritis,194
Panchthar,2069/70,Anaemia,518
Panchthar,2069/70,"Goitre,Cretinism",21
Panchthar,2069/70,Diabetic mellitis,24
Panchthar,2069/70,Obesity,0
Panchthar,2069/70,Dehydration,344
Panchthar,2069/70,Night blindness,48
Ilam,2069/70,Malnutrition,119
Ilam,2069/70,Avitaminoses and othernnutrideficency,1214
Ilam,2069/70,Polyneuritis,379
Ilam,2069/70,Anaemia,651
Ilam,2069/70,"Goitre,Cretinism",10
Ilam,2069/70,Diabetic mellitis,194
Ilam,2069/70,Obesity,4
Ilam,2069/70,Dehydration,341
Ilam,2069/70,Night blindness,15
Jhapa,2069/70,Malnutrition,656
Jhapa,2069/70,Avitaminoses and othernnutrideficency,2490
Jhapa,2069/70,Polyneuritis,2736
Jhapa,2069/70,Anaemia,2961
Jhapa,2069/70,"Goitre,Cretinism",53
Jhapa,2069/70,Diabetic mellitis,1214
Jhapa,2069/70,Obesity,69
Jhapa,2069/70,Dehydration,2942
Jhapa,2069/70,Night blindness,333
Morang,2069/70,Malnutrition,1213
Morang,2069/70,Avitaminoses and othernnutrideficency,6175
Morang,2069/70,Polyneuritis,1014
Morang,2069/70,Anaemia,2614
Morang,2069/70,"Goitre,Cretinism",150
Morang,2069/70,Diabetic mellitis,13729
Morang,2069/70,Obesity,421
Morang,2069/70,Dehydration,2063
Morang,2069/70,Night blindness,223
Sunsari,2069/70,Malnutrition,297
Sunsari,2069/70,Avitaminoses and othernnutrideficency,8203
Sunsari,2069/70,Polyneuritis,1632
Sunsari,2069/70,Anaemia,2032
Sunsari,2069/70,"Goitre,Cretinism",10
Sunsari,2069/70,Diabetic mellitis,638
Sunsari,2069/70,Obesity,15
Sunsari,2069/70,Dehydration,2080
Sunsari,2069/70,Night blindness,169
Dhankuta,2069/70,Malnutrition,61
Dhankuta,2069/70,Avitaminoses and othernnutrideficency,1175
Dhankuta,2069/70,Polyneuritis,313
Dhankuta,2069/70,Anaemia,157
Dhankuta,2069/70,"Goitre,Cretinism",13
Dhankuta,2069/70,Diabetic mellitis,66
Dhankuta,2069/70,Obesity,7
Dhankuta,2069/70,Dehydration,452
Dhankuta,2069/70,Night blindness,9
Teharthum,2069/70,Malnutrition,54
Teharthum,2069/70,Avitaminoses and othernnutrideficency,603
Teharthum,2069/70,Polyneuritis,260
Teharthum,2069/70,Anaemia,195
Teharthum,2069/70,"Goitre,Cretinism",17
Teharthum,2069/70,Diabetic mellitis,207
Teharthum,2069/70,Obesity,10
Teharthum,2069/70,Dehydration,391
Teharthum,2069/70,Night blindness,30
Sankhuwasabha,2069/70,Malnutrition,36
Sankhuwasabha,2069/70,Avitaminoses and othernnutrideficency,712
Sankhuwasabha,2069/70,Polyneuritis,77
Sankhuwasabha,2069/70,Anaemia,275
Sankhuwasabha,2069/70,"Goitre,Cretinism",26
Sankhuwasabha,2069/70,Diabetic mellitis,192
Sankhuwasabha,2069/70,Obesity,39
Sankhuwasabha,2069/70,Dehydration,296
Sankhuwasabha,2069/70,Night blindness,35
Bhojpur,2069/70,Malnutrition,46
Bhojpur,2069/70,Avitaminoses and othernnutrideficency,1092
Bhojpur,2069/70,Polyneuritis,98
Bhojpur,2069/70,Anaemia,486
Bhojpur,2069/70,"Goitre,Cretinism",19
Bhojpur,2069/70,Diabetic mellitis,135
Bhojpur,2069/70,Obesity,12
Bhojpur,2069/70,Dehydration,423
Bhojpur,2069/70,Night blindness,28
Solukhumbu,2069/70,Malnutrition,206
Solukhumbu,2069/70,Avitaminoses and othernnutrideficency,423
Solukhumbu,2069/70,Polyneuritis,318
Solukhumbu,2069/70,Anaemia,674
Solukhumbu,2069/70,"Goitre,Cretinism",2
Solukhumbu,2069/70,Diabetic mellitis,211
Solukhumbu,2069/70,Obesity,27
Solukhumbu,2069/70,Dehydration,873
Solukhumbu,2069/70,Night blindness,186
Okhaldhunga,2069/70,Malnutrition,146
Okhaldhunga,2069/70,Avitaminoses and othernnutrideficency,859
Okhaldhunga,2069/70,Polyneuritis,75
Okhaldhunga,2069/70,Anaemia,385
Okhaldhunga,2069/70,"Goitre,Cretinism",80
Okhaldhunga,2069/70,Diabetic mellitis,260
Okhaldhunga,2069/70,Obesity,3
Okhaldhunga,2069/70,Dehydration,273
Okhaldhunga,2069/70,Night blindness,15
Khotang,2069/70,Malnutrition,204
Khotang,2069/70,Avitaminoses and othernnutrideficency,1160
Khotang,2069/70,Polyneuritis,248
Khotang,2069/70,Anaemia,555
Khotang,2069/70,"Goitre,Cretinism",70
Khotang,2069/70,Diabetic mellitis,23
Khotang,2069/70,Obesity,37
Khotang,2069/70,Dehydration,1492
Khotang,2069/70,Night blindness,41
Udaypur,2069/70,Malnutrition,163
Udaypur,2069/70,Avitaminoses and othernnutrideficency,1481
Udaypur,2069/70,Polyneuritis,762
Udaypur,2069/70,Anaemia,691
Udaypur,2069/70,"Goitre,Cretinism",8
Udaypur,2069/70,Diabetic mellitis,499
Udaypur,2069/70,Obesity,3
Udaypur,2069/70,Dehydration,494
Udaypur,2069/70,Night blindness,91
Saptari,2069/70,Malnutrition,1262
Saptari,2069/70,Avitaminoses and othernnutrideficency,6981
Saptari,2069/70,Polyneuritis,834
Saptari,2069/70,Anaemia,5029
Saptari,2069/70,"Goitre,Cretinism",31
Saptari,2069/70,Diabetic mellitis,125
Saptari,2069/70,Obesity,6
Saptari,2069/70,Dehydration,4417
Saptari,2069/70,Night blindness,934
Siraha,2069/70,Malnutrition,398
Siraha,2069/70,Avitaminoses and othernnutrideficency,9082
Siraha,2069/70,Polyneuritis,1466
Siraha,2069/70,Anaemia,3502
Siraha,2069/70,"Goitre,Cretinism",125
Siraha,2069/70,Diabetic mellitis,396
Siraha,2069/70,Obesity,187
Siraha,2069/70,Dehydration,4415
Siraha,2069/70,Night blindness,665
Dhanusha,2069/70,Malnutrition,953
Dhanusha,2069/70,Avitaminoses and othernnutrideficency,7802
Dhanusha,2069/70,Polyneuritis,1061
Dhanusha,2069/70,Anaemia,3997
Dhanusha,2069/70,"Goitre,Cretinism",76
Dhanusha,2069/70,Diabetic mellitis,316
Dhanusha,2069/70,Obesity,14
Dhanusha,2069/70,Dehydration,1168
Dhanusha,2069/70,Night blindness,691
Mahottari,2069/70,Malnutrition,1010
Mahottari,2069/70,Avitaminoses and othernnutrideficency,4850
Mahottari,2069/70,Polyneuritis,975
Mahottari,2069/70,Anaemia,4240
Mahottari,2069/70,"Goitre,Cretinism",30
Mahottari,2069/70,Diabetic mellitis,746
Mahottari,2069/70,Obesity,157
Mahottari,2069/70,Dehydration,2524
Mahottari,2069/70,Night blindness,1198
Sarlahi,2069/70,Malnutrition,1630
Sarlahi,2069/70,Avitaminoses and othernnutrideficency,8771
Sarlahi,2069/70,Polyneuritis,1166
Sarlahi,2069/70,Anaemia,5908
Sarlahi,2069/70,"Goitre,Cretinism",114
Sarlahi,2069/70,Diabetic mellitis,527
Sarlahi,2069/70,Obesity,108
Sarlahi,2069/70,Dehydration,4548
Sarlahi,2069/70,Night blindness,2128
Sindhuli,2069/70,Malnutrition,212
Sindhuli,2069/70,Avitaminoses and othernnutrideficency,836
Sindhuli,2069/70,Polyneuritis,314
Sindhuli,2069/70,Anaemia,591
Sindhuli,2069/70,"Goitre,Cretinism",35
Sindhuli,2069/70,Diabetic mellitis,63
Sindhuli,2069/70,Obesity,14
Sindhuli,2069/70,Dehydration,1057
Sindhuli,2069/70,Night blindness,43
Ramechhap,2069/70,Malnutrition,87
Ramechhap,2069/70,Avitaminoses and othernnutrideficency,1530
Ramechhap,2069/70,Polyneuritis,580
Ramechhap,2069/70,Anaemia,442
Ramechhap,2069/70,"Goitre,Cretinism",17
Ramechhap,2069/70,Diabetic mellitis,181
Ramechhap,2069/70,Obesity,21
Ramechhap,2069/70,Dehydration,208
Ramechhap,2069/70,Night blindness,41
Dolkha,2069/70,Malnutrition,80
Dolkha,2069/70,Avitaminoses and othernnutrideficency,698
Dolkha,2069/70,Polyneuritis,211
Dolkha,2069/70,Anaemia,395
Dolkha,2069/70,"Goitre,Cretinism",5
Dolkha,2069/70,Diabetic mellitis,353
Dolkha,2069/70,Obesity,55
Dolkha,2069/70,Dehydration,478
Dolkha,2069/70,Night blindness,118
Sindhupalchowk,2069/70,Malnutrition,174
Sindhupalchowk,2069/70,Avitaminoses and othernnutrideficency,1016
Sindhupalchowk,2069/70,Polyneuritis,1020
Sindhupalchowk,2069/70,Anaemia,955
Sindhupalchowk,2069/70,"Goitre,Cretinism",17
Sindhupalchowk,2069/70,Diabetic mellitis,124
Sindhupalchowk,2069/70,Obesity,6
Sindhupalchowk,2069/70,Dehydration,774
Sindhupalchowk,2069/70,Night blindness,30
Kavre,2069/70,Malnutrition,121
Kavre,2069/70,Avitaminoses and othernnutrideficency,2968
Kavre,2069/70,Polyneuritis,828
Kavre,2069/70,Anaemia,1935
Kavre,2069/70,"Goitre,Cretinism",101
Kavre,2069/70,Diabetic mellitis,1581
Kavre,2069/70,Obesity,566
Kavre,2069/70,Dehydration,1118
Kavre,2069/70,Night blindness,81
Lalitpur,2069/70,Malnutrition,0
Lalitpur,2069/70,Avitaminoses and othernnutrideficency,0
Lalitpur,2069/70,Polyneuritis,0
Lalitpur,2069/70,Anaemia,0
Lalitpur,2069/70,"Goitre,Cretinism",0
Lalitpur,2069/70,Diabetic mellitis,0
Lalitpur,2069/70,Obesity,0
Lalitpur,2069/70,Dehydration,0
Lalitpur,2069/70,Night blindness,0
Bhaktapur,2069/70,Malnutrition,54
Bhaktapur,2069/70,Avitaminoses and othernnutrideficency,963
Bhaktapur,2069/70,Polyneuritis,122
Bhaktapur,2069/70,Anaemia,294
Bhaktapur,2069/70,"Goitre,Cretinism",21
Bhaktapur,2069/70,Diabetic mellitis,1438
Bhaktapur,2069/70,Obesity,63
Bhaktapur,2069/70,Dehydration,290
Bhaktapur,2069/70,Night blindness,25
Kathmandu,2069/70,Malnutrition,779
Kathmandu,2069/70,Avitaminoses and othernnutrideficency,4498
Kathmandu,2069/70,Polyneuritis,1025
Kathmandu,2069/70,Anaemia,2439
Kathmandu,2069/70,"Goitre,Cretinism",441
Kathmandu,2069/70,Diabetic mellitis,18876
Kathmandu,2069/70,Obesity,1061
Kathmandu,2069/70,Dehydration,2924
Kathmandu,2069/70,Night blindness,331
Nuwakot,2069/70,Malnutrition,216
Nuwakot,2069/70,Avitaminoses and othernnutrideficency,1083
Nuwakot,2069/70,Polyneuritis,323
Nuwakot,2069/70,Anaemia,706
Nuwakot,2069/70,"Goitre,Cretinism",31
Nuwakot,2069/70,Diabetic mellitis,346
Nuwakot,2069/70,Obesity,67
Nuwakot,2069/70,Dehydration,558
Nuwakot,2069/70,Night blindness,112
Rasuwa,2069/70,Malnutrition,3
Rasuwa,2069/70,Avitaminoses and othernnutrideficency,520
Rasuwa,2069/70,Polyneuritis,35
Rasuwa,2069/70,Anaemia,133
Rasuwa,2069/70,"Goitre,Cretinism",1
Rasuwa,2069/70,Diabetic mellitis,4
Rasuwa,2069/70,Obesity,1
Rasuwa,2069/70,Dehydration,316
Rasuwa,2069/70,Night blindness,2
Dhading,2069/70,Malnutrition,359
Dhading,2069/70,Avitaminoses and othernnutrideficency,1981
Dhading,2069/70,Polyneuritis,1508
Dhading,2069/70,Anaemia,1841
Dhading,2069/70,"Goitre,Cretinism",37
Dhading,2069/70,Diabetic mellitis,1014
Dhading,2069/70,Obesity,41
Dhading,2069/70,Dehydration,1227
Dhading,2069/70,Night blindness,112
Makawanpur,2069/70,Malnutrition,124
Makawanpur,2069/70,Avitaminoses and othernnutrideficency,1009
Makawanpur,2069/70,Polyneuritis,561
Makawanpur,2069/70,Anaemia,641
Makawanpur,2069/70,"Goitre,Cretinism",25
Makawanpur,2069/70,Diabetic mellitis,181
Makawanpur,2069/70,Obesity,9
Makawanpur,2069/70,Dehydration,420
Makawanpur,2069/70,Night blindness,78
Rautahat,2069/70,Malnutrition,2128
Rautahat,2069/70,Avitaminoses and othernnutrideficency,9520
Rautahat,2069/70,Polyneuritis,1014
Rautahat,2069/70,Anaemia,9388
Rautahat,2069/70,"Goitre,Cretinism",76
Rautahat,2069/70,Diabetic mellitis,125
Rautahat,2069/70,Obesity,20
Rautahat,2069/70,Dehydration,7531
Rautahat,2069/70,Night blindness,2533
Bara,2069/70,Malnutrition,1052
Bara,2069/70,Avitaminoses and othernnutrideficency,8112
Bara,2069/70,Polyneuritis,1090
Bara,2069/70,Anaemia,4172
Bara,2069/70,"Goitre,Cretinism",130
Bara,2069/70,Diabetic mellitis,247
Bara,2069/70,Obesity,85
Bara,2069/70,Dehydration,2637
Bara,2069/70,Night blindness,1111
Parsa,2069/70,Malnutrition,0
Parsa,2069/70,Avitaminoses and othernnutrideficency,0
Parsa,2069/70,Polyneuritis,0
Parsa,2069/70,Anaemia,0
Parsa,2069/70,"Goitre,Cretinism",0
Parsa,2069/70,Diabetic mellitis,0
Parsa,2069/70,Obesity,0
Parsa,2069/70,Dehydration,0
Parsa,2069/70,Night blindness,0
Chitwan,2069/70,Malnutrition,261
Chitwan,2069/70,Avitaminoses and othernnutrideficency,3363
Chitwan,2069/70,Polyneuritis,1246
Chitwan,2069/70,Anaemia,2889
Chitwan,2069/70,"Goitre,Cretinism",335
Chitwan,2069/70,Diabetic mellitis,12395
Chitwan,2069/70,Obesity,361
Chitwan,2069/70,Dehydration,934
Chitwan,2069/70,Night blindness,165
Gorkha,2069/70,Malnutrition,93
Gorkha,2069/70,Avitaminoses and othernnutrideficency,922
Gorkha,2069/70,Polyneuritis,1583
Gorkha,2069/70,Anaemia,978
Gorkha,2069/70,"Goitre,Cretinism",52
Gorkha,2069/70,Diabetic mellitis,875
Gorkha,2069/70,Obesity,2
Gorkha,2069/70,Dehydration,416
Gorkha,2069/70,Night blindness,63
Lamjung,2069/70,Malnutrition,137
Lamjung,2069/70,Avitaminoses and othernnutrideficency,2651
Lamjung,2069/70,Polyneuritis,792
Lamjung,2069/70,Anaemia,884
Lamjung,2069/70,"Goitre,Cretinism",14
Lamjung,2069/70,Diabetic mellitis,1114
Lamjung,2069/70,Obesity,18
Lamjung,2069/70,Dehydration,498
Lamjung,2069/70,Night blindness,5
Tanahu,2069/70,Malnutrition,127
Tanahu,2069/70,Avitaminoses and othernnutrideficency,982
Tanahu,2069/70,Polyneuritis,413
Tanahu,2069/70,Anaemia,836
Tanahu,2069/70,"Goitre,Cretinism",198
Tanahu,2069/70,Diabetic mellitis,1483
Tanahu,2069/70,Obesity,121
Tanahu,2069/70,Dehydration,316
Tanahu,2069/70,Night blindness,173
Syangja,2069/70,Malnutrition,109
Syangja,2069/70,Avitaminoses and othernnutrideficency,3664
Syangja,2069/70,Polyneuritis,1307
Syangja,2069/70,Anaemia,950
Syangja,2069/70,"Goitre,Cretinism",3
Syangja,2069/70,Diabetic mellitis,391
Syangja,2069/70,Obesity,32
Syangja,2069/70,Dehydration,325
Syangja,2069/70,Night blindness,127
Kaski,2069/70,Malnutrition,1592
Kaski,2069/70,Avitaminoses and othernnutrideficency,4514
Kaski,2069/70,Polyneuritis,878
Kaski,2069/70,Anaemia,2074
Kaski,2069/70,"Goitre,Cretinism",2257
Kaski,2069/70,Diabetic mellitis,10133
Kaski,2069/70,Obesity,1442
Kaski,2069/70,Dehydration,1253
Kaski,2069/70,Night blindness,122
Manang,2069/70,Malnutrition,0
Manang,2069/70,Avitaminoses and othernnutrideficency,74
Manang,2069/70,Polyneuritis,11
Manang,2069/70,Anaemia,35
Manang,2069/70,"Goitre,Cretinism",0
Manang,2069/70,Diabetic mellitis,81
Manang,2069/70,Obesity,1
Manang,2069/70,Dehydration,20
Manang,2069/70,Night blindness,2
Mustang,2069/70,Malnutrition,1
Mustang,2069/70,Avitaminoses and othernnutrideficency,240
Mustang,2069/70,Polyneuritis,5
Mustang,2069/70,Anaemia,16
Mustang,2069/70,"Goitre,Cretinism",1
Mustang,2069/70,Diabetic mellitis,19
Mustang,2069/70,Obesity,9
Mustang,2069/70,Dehydration,33
Mustang,2069/70,Night blindness,0
Myagdi,2069/70,Malnutrition,66
Myagdi,2069/70,Avitaminoses and othernnutrideficency,605
Myagdi,2069/70,Polyneuritis,225
Myagdi,2069/70,Anaemia,154
Myagdi,2069/70,"Goitre,Cretinism",10
Myagdi,2069/70,Diabetic mellitis,23
Myagdi,2069/70,Obesity,7
Myagdi,2069/70,Dehydration,135
Myagdi,2069/70,Night blindness,42
Parbat,2069/70,Malnutrition,85
Parbat,2069/70,Avitaminoses and othernnutrideficency,1947
Parbat,2069/70,Polyneuritis,844
Parbat,2069/70,Anaemia,659
Parbat,2069/70,"Goitre,Cretinism",7
Parbat,2069/70,Diabetic mellitis,219
Parbat,2069/70,Obesity,23
Parbat,2069/70,Dehydration,177
Parbat,2069/70,Night blindness,22
Baglung,2069/70,Malnutrition,230
Baglung,2069/70,Avitaminoses and othernnutrideficency,1530
Baglung,2069/70,Polyneuritis,1519
Baglung,2069/70,Anaemia,928
Baglung,2069/70,"Goitre,Cretinism",48
Baglung,2069/70,Diabetic mellitis,115
Baglung,2069/70,Obesity,78
Baglung,2069/70,Dehydration,615
Baglung,2069/70,Night blindness,194
Gulmi,2069/70,Malnutrition,164
Gulmi,2069/70,Avitaminoses and othernnutrideficency,885
Gulmi,2069/70,Polyneuritis,1368
Gulmi,2069/70,Anaemia,781
Gulmi,2069/70,"Goitre,Cretinism",91
Gulmi,2069/70,Diabetic mellitis,179
Gulmi,2069/70,Obesity,94
Gulmi,2069/70,Dehydration,170
Gulmi,2069/70,Night blindness,55
Palpa,2069/70,Malnutrition,215
Palpa,2069/70,Avitaminoses and othernnutrideficency,3407
Palpa,2069/70,Polyneuritis,723
Palpa,2069/70,Anaemia,1060
Palpa,2069/70,"Goitre,Cretinism",512
Palpa,2069/70,Diabetic mellitis,2947
Palpa,2069/70,Obesity,155
Palpa,2069/70,Dehydration,1690
Palpa,2069/70,Night blindness,19
Nawalparasi,2069/70,Malnutrition,255
Nawalparasi,2069/70,Avitaminoses and othernnutrideficency,5547
Nawalparasi,2069/70,Polyneuritis,1249
Nawalparasi,2069/70,Anaemia,1952
Nawalparasi,2069/70,"Goitre,Cretinism",84
Nawalparasi,2069/70,Diabetic mellitis,741
Nawalparasi,2069/70,Obesity,165
Nawalparasi,2069/70,Dehydration,665
Nawalparasi,2069/70,Night blindness,157
Rupandehi,2069/70,Malnutrition,0
Rupandehi,2069/70,Avitaminoses and othernnutrideficency,0
Rupandehi,2069/70,Polyneuritis,0
Rupandehi,2069/70,Anaemia,0
Rupandehi,2069/70,"Goitre,Cretinism",0
Rupandehi,2069/70,Diabetic mellitis,0
Rupandehi,2069/70,Obesity,0
Rupandehi,2069/70,Dehydration,0
Rupandehi,2069/70,Night blindness,0
Kapilvastu,2069/70,Malnutrition,2724
Kapilvastu,2069/70,Avitaminoses and othernnutrideficency,5390
Kapilvastu,2069/70,Polyneuritis,2048
Kapilvastu,2069/70,Anaemia,4924
Kapilvastu,2069/70,"Goitre,Cretinism",237
Kapilvastu,2069/70,Diabetic mellitis,159
Kapilvastu,2069/70,Obesity,40
Kapilvastu,2069/70,Dehydration,1749
Kapilvastu,2069/70,Night blindness,1247
Arghakhanchi,2069/70,Malnutrition,135
Arghakhanchi,2069/70,Avitaminoses and othernnutrideficency,1405
Arghakhanchi,2069/70,Polyneuritis,944
Arghakhanchi,2069/70,Anaemia,482
Arghakhanchi,2069/70,"Goitre,Cretinism",1
Arghakhanchi,2069/70,Diabetic mellitis,130
Arghakhanchi,2069/70,Obesity,9
Arghakhanchi,2069/70,Dehydration,253
Arghakhanchi,2069/70,Night blindness,12
Pyuthan,2069/70,Malnutrition,105
Pyuthan,2069/70,Avitaminoses and othernnutrideficency,747
Pyuthan,2069/70,Polyneuritis,523
Pyuthan,2069/70,Anaemia,286
Pyuthan,2069/70,"Goitre,Cretinism",21
Pyuthan,2069/70,Diabetic mellitis,205
Pyuthan,2069/70,Obesity,5
Pyuthan,2069/70,Dehydration,128
Pyuthan,2069/70,Night blindness,4
Rolpa,2069/70,Malnutrition,51
Rolpa,2069/70,Avitaminoses and othernnutrideficency,343
Rolpa,2069/70,Polyneuritis,411
Rolpa,2069/70,Anaemia,320
Rolpa,2069/70,"Goitre,Cretinism",20
Rolpa,2069/70,Diabetic mellitis,19
Rolpa,2069/70,Obesity,9
Rolpa,2069/70,Dehydration,746
Rolpa,2069/70,Night blindness,32
Rukum,2069/70,Malnutrition,877
Rukum,2069/70,Avitaminoses and othernnutrideficency,1661
Rukum,2069/70,Polyneuritis,1224
Rukum,2069/70,Anaemia,598
Rukum,2069/70,"Goitre,Cretinism",28
Rukum,2069/70,Diabetic mellitis,42
Rukum,2069/70,Obesity,10
Rukum,2069/70,Dehydration,419
Rukum,2069/70,Night blindness,96
Salyan,2069/70,Malnutrition,217
Salyan,2069/70,Avitaminoses and othernnutrideficency,940
Salyan,2069/70,Polyneuritis,1515
Salyan,2069/70,Anaemia,934
Salyan,2069/70,"Goitre,Cretinism",47
Salyan,2069/70,Diabetic mellitis,289
Salyan,2069/70,Obesity,36
Salyan,2069/70,Dehydration,664
Salyan,2069/70,Night blindness,105
Dang,2069/70,Malnutrition,1058
Dang,2069/70,Avitaminoses and othernnutrideficency,1848
Dang,2069/70,Polyneuritis,2126
Dang,2069/70,Anaemia,1655
Dang,2069/70,"Goitre,Cretinism",6
Dang,2069/70,Diabetic mellitis,1233
Dang,2069/70,Obesity,323
Dang,2069/70,Dehydration,1482
Dang,2069/70,Night blindness,235
Banke,2069/70,Malnutrition,312
Banke,2069/70,Avitaminoses and othernnutrideficency,3408
Banke,2069/70,Polyneuritis,1008
Banke,2069/70,Anaemia,2101
Banke,2069/70,"Goitre,Cretinism",64
Banke,2069/70,Diabetic mellitis,144
Banke,2069/70,Obesity,148
Banke,2069/70,Dehydration,1007
Banke,2069/70,Night blindness,587
Bardiya,2069/70,Malnutrition,709
Bardiya,2069/70,Avitaminoses and othernnutrideficency,4354
Bardiya,2069/70,Polyneuritis,3249
Bardiya,2069/70,Anaemia,2289
Bardiya,2069/70,"Goitre,Cretinism",21
Bardiya,2069/70,Diabetic mellitis,185
Bardiya,2069/70,Obesity,5
Bardiya,2069/70,Dehydration,1184
Bardiya,2069/70,Night blindness,305
Surkhet,2069/70,Malnutrition,218
Surkhet,2069/70,Avitaminoses and othernnutrideficency,2141
Surkhet,2069/70,Polyneuritis,2449
Surkhet,2069/70,Anaemia,968
Surkhet,2069/70,"Goitre,Cretinism",1
Surkhet,2069/70,Diabetic mellitis,22
Surkhet,2069/70,Obesity,19
Surkhet,2069/70,Dehydration,1634
